tech_group,hour_class,gwh,pct_of_class
Nuclear,critical_evening,8361.4,26.9
Wind,critical_evening,5079.7,16.3
Hydro,critical_evening,4179.3,13.4
Unknown,critical_evening,4148.1,13.3
CCGT,critical_evening,4106.1,13.2
Solar PV,critical_evening,2721.4,8.7
Cogen,critical_evening,1254.9,4.0
Hydro_pump,critical_evening,579.3,1.9
Hydro_RES,critical_evening,382.6,1.2
Biomass,critical_evening,290.3,0.9
Coal,critical_evening,18.8,0.1
Nuclear,critical_morning,4765.9,34.3
Wind,critical_morning,2910.2,20.9
CCGT,critical_morning,1953.8,14.0
Unknown,critical_morning,1681.3,12.1
Hydro,critical_morning,1386.6,10.0
Cogen,critical_morning,710.6,5.1
Hydro_RES,critical_morning,201.4,1.4
Biomass,critical_morning,167.1,1.2
Hydro_pump,critical_morning,119.1,0.9
Coal,critical_morning,10.5,0.1
Solar PV,critical_morning,5.8,0.0
Nuclear,flat,3571.3,34.0
Wind,flat,2266.0,21.6
CCGT,flat,1427.4,13.6
Unknown,flat,1350.0,12.8
Hydro,flat,1017.8,9.7
Cogen,flat,533.6,5.1
Hydro_RES,flat,150.0,1.4
Biomass,flat,126.1,1.2
Hydro_pump,flat,56.5,0.5
Coal,flat,7.2,0.1
Solar PV,flat,0.2,0.0
Solar PV,midday,4888.2,26.4
Nuclear,midday,4766.6,25.8
Unknown,midday,2715.5,14.7
Wind,midday,2535.3,13.7
CCGT,midday,1705.7,9.2
Hydro,midday,846.6,4.6
Cogen,midday,649.5,3.5
Hydro_RES,midday,189.2,1.0
Biomass,midday,157.9,0.9
Hydro_pump,midday,17.0,0.1
Coal,midday,12.2,0.1
