firm,era,Q1_TWh,Q2_TWh,Q3_TWh,Q4_TWh,Q4_share_pct
IB,pre-MTU15-IDA,0.3157521,0.9378969,2.319396,4.6108922,56.340757355762705
IB,post-MTU15-IDA,0.047000824999999996,0.44100740000000005,1.4537285,3.3216883999999998,63.10887532574143
GE,pre-MTU15-IDA,1.3662165,1.2628641,1.3269003000000001,1.5547727,28.21343164390438
GE,post-MTU15-IDA,1.409993275,1.7731101999999999,1.786000925,1.8347851499999999,26.96670979910308
GN,pre-MTU15-IDA,0.023359599999999998,0.027608,0.0218997,0.22832739999999999,75.80724362015665
GN,post-MTU15-IDA,5.525e-06,0.000342125,0.012591175,0.15760975,92.41340773442404
HC,pre-MTU15-IDA,0.0005336999999999999,0.0012783999999999998,0.006175,0.062399800000000005,88.65257597649561
HC,post-MTU15-IDA,0.0025927249999999997,0.014075899999999999,0.025298100000000004,0.049477349999999996,54.10667667642763
Fringe,pre-MTU15-IDA,3.3008243,4.8519668,7.440438400000001,10.8881859,41.1163290765795
Fringe,post-MTU15-IDA,1.8137827,3.263712025,5.0151282,7.29920715,41.96917241327175
