firm,tech_group,phase,bilateral_mwh,auction_sell_mwh,n_days,bilateral_per_day_GWh,auction_per_day_GWh,bilateral_share
GE,Hydro,PRE-blackout,229185.20000000548,1379750.79999999,40,5.729630000000137,34.49376999999975,0.14244519359378255
GN,Hydro,POST-blackout,955189.3999999986,58102.29999999993,156,6.1230089743589655,0.37245064102564057,0.9426598480970485
GE,Nuclear,POST-blackout,167523.0,2670023.0,146,1.1474178082191782,18.287828767123287,0.059037985639704166
GE,CCGT,POST-blackout,0.0,812533.7,94,0.0,8.643975531914894,0.0
GN,CCGT,POST-blackout,0.0,616034.1999999996,58,0.0,10.62127931034482,0.0
GN,Nuclear,PRE-blackout,990221.3999999951,2623885.8000000236,34,29.12415882352927,77.17311176470658,0.27398783301170204
IB,CCGT,PRE-blackout,0.0,5797.1,4,0.0,1.449275,0.0
IB,Hydro,POST-blackout,5023473.9000000665,2881679.7000000826,156,32.2017557692312,18.472305769231298,0.6354682216421415
IB,Nuclear,POST-blackout,15730728.99999961,10925369.300000286,156,100.83800641025393,70.03441858974541,0.5901362165969981
HC,Hydro,POST-blackout,202122.0,63445.39999999877,156,1.2956538461538463,0.4067012820512742,0.7610949235486019
HC,CCGT,POST-blackout,0.0,12613.6,2,0.0,6.3068,0.0
GN,Hydro,PRE-blackout,638822.3000000056,9915.700000000008,40,15.97055750000014,0.2478925000000002,0.9847154012868062
GE,Nuclear,PRE-blackout,0.0,424060.5999999997,33,0.0,12.850321212121202,0.0
GE,CCGT,PRE-blackout,0.0,3447.3000000000006,2,0.0,1.7236500000000003,0.0
GE,Hydro,POST-blackout,1272173.1000000015,3518188.1999999136,156,8.15495576923078,22.55248846153791,0.2655693423375026
GN,CCGT,PRE-blackout,0.0,9669.0,3,0.0,3.223,0.0
HC,Hydro,PRE-blackout,122202.0,11667.300000000034,40,3.05505,0.29168250000000084,0.9128455889438427
IB,Hydro,PRE-blackout,2649827.900000001,724114.5999999952,40,66.24569750000002,18.10286499999988,0.7853802784131632
IB,Nuclear,PRE-blackout,1107061.7,2951874.200000081,40,27.6765425,73.79685500000204,0.27274678075107756
GN,Nuclear,POST-blackout,13698982.500000712,5990629.499999992,152,90.12488486842574,39.41203618421047,0.6957466962782315
IB,CCGT,POST-blackout,0.0,347169.20000000007,80,0.0,4.339615000000001,0.0
