term,coef,se,t,p
const,-0.010480295071964065,0.011621820901260157,-0.9017773687105852,0.36717514410910823
reforzada,0.03280336408970461,0.006411935853122638,5.115984445435343,3.1210878179221703e-07
DOW1,-0.00034268319929305925,0.014156204584331604,-0.02420727937715371,0.9806872717295968
DOW2,0.0004651143038497399,0.01437958751071052,0.03234545521582613,0.9741965601318358
DOW3,0.0015224218262252151,0.014473747162785116,0.10518505049885524,0.916228972887484
DOW4,0.007820667798425614,0.014482441237950762,0.5400103249120605,0.5891899120201625
DOW5,0.01291952125872213,0.013981447506620151,0.924047474526854,0.35546159877999883
DOW6,0.010394355499281407,0.01392327732833682,0.7465451742548208,0.4553381533850177
M6,-0.010213487177121564,0.011257476448404326,-0.9072625844639683,0.3642679550552098
M7,0.008520479383861905,0.010845193862739938,0.7856456502022625,0.43207511231975737
M8,0.018867391598008067,0.010865003805787896,1.7365287610812634,0.08247038345779882
M9,-0.013077609322269626,0.012552044506418893,-1.0418708534360255,0.29747155890457366
