firm,regime,dominant_in_zone,n_days,n_units,median_bid,p25_bid,p75_bid
GE,post,0,606,4,445.3,282.9,1145.0
GE,post,1,219,1,1789.4,1743.2,1813.7
GE,pre,0,1427,4,2381.4,1199.8,2630.0
GE,pre,1,394,1,2679.8,2143.3,2781.5
GN,post,0,499,2,851.5,786.4,881.9
GN,post,1,3405,15,840.2,782.0,873.5
GN,pre,0,872,2,865.5,825.3,881.3
GN,pre,1,5771,15,843.7,804.0,869.6
HC,post,0,510,2,163.1,146.8,286.5
HC,pre,0,621,2,156.2,130.9,164.7
IB,post,0,1969,9,195.5,146.1,217.1
IB,post,1,128,1,147.3,137.3,193.2
IB,pre,0,2946,9,169.9,145.2,213.1
IB,pre,1,410,1,155.6,135.9,172.3
