firm,regime,rt2_state,n,median_bid,p25_bid,p75_bid
GE,post,~0,285,2295.5,348.7,2433.2
GE,post,small_up,89,386.7,108.9,593.3
GE,post,large_up,958,446.7,269.6,1791.5
GE,pre,~0,1334,1289.6,1064.4,2443.6
GE,pre,small_up,236,2167.7,1239.4,2582.4
GE,pre,large_up,1142,2368.2,1118.9,2673.9
GN,post,~0,1220,843.9,811.5,872.2
GN,post,small_up,397,834.1,760.4,870.0
GN,post,large_up,2287,840.5,769.5,875.3
GN,pre,~0,3324,842.6,803.9,869.9
GN,pre,small_up,1118,849.5,810.0,871.1
GN,pre,large_up,2201,850.5,806.5,873.5
HC,post,~0,140,271.7,166.9,292.0
HC,post,small_up,54,170.8,154.0,290.4
HC,post,large_up,316,157.6,139.4,185.9
HC,pre,~0,292,159.4,137.1,165.9
HC,pre,small_up,93,159.1,137.2,171.2
HC,pre,large_up,236,145.0,127.8,160.4
IB,post,~0,1051,201.7,185.4,224.7
IB,post,small_up,189,197.0,149.6,214.8
IB,post,large_up,857,161.0,125.2,200.7
IB,pre,~0,1934,174.9,152.9,214.6
IB,pre,small_up,520,158.3,124.4,196.0
IB,pre,large_up,902,156.8,127.6,198.1
