zone,firm,omie_code,situation,n_hours,mean_da_bid,mean_max_da_bid,mean_pdbc_mw,mean_a73_mw,mean_redisp_mw,mean_rt_price_up,mean_bid_to_rt_wedge
Andalucía,GE,COL4,Sit1_competitive,211,105.56,621.88,0.0,186.41,186.41,64.9,-40.74
Andalucía,GE,SROQ2,Sit1_competitive,2843,608.46,2775.82,65.53,204.66,139.12,70.54,-532.58
Andalucía,GE,SROQ2,Sit2_sole_pivot,78,2246.8,2999.0,0.0,196.56,196.56,38.39,-2208.41
Andalucía,GE,SROQ2,Sit3_joint_pivot,1623,900.55,2775.23,21.11,161.44,140.33,55.11,-844.94
Andalucía,GN,CAMGI10,Off,79,804.04,1000.0,0.0,0.06,0.06,64.65,-739.74
Andalucía,GN,CAMGI10,Sit1_competitive,3182,764.92,1000.0,50.19,229.22,179.03,71.59,-693.36
Andalucía,GN,CAMGI10,Sit3_joint_pivot,1313,815.26,1000.0,24.24,189.85,165.61,55.03,-759.79
Andalucía,GN,MALA1,Off,57,904.47,1000.0,0.0,0.01,0.01,67.36,-836.79
Andalucía,GN,MALA1,Sit1_competitive,1625,819.57,1000.0,6.33,207.37,201.04,72.42,-744.91
Andalucía,GN,MALA1,Sit3_joint_pivot,821,867.53,1000.0,0.53,162.59,162.07,53.49,-813.12
Andalucía,GN,PALOS1,Sit1_competitive,2277,823.32,1000.0,27.24,225.81,198.57,72.96,-750.36
Andalucía,GN,PALOS1,Sit3_joint_pivot,581,905.83,1000.0,3.8,195.2,191.4,46.06,-860.14
Andalucía,GN,PALOS2,Off,60,835.63,1000.0,0.0,0.09,0.09,69.61,-765.4
Andalucía,GN,PALOS2,Sit1_competitive,3236,814.65,1000.0,31.58,237.22,205.65,71.32,-742.98
Andalucía,GN,PALOS2,Sit3_joint_pivot,1426,835.64,1000.0,8.93,186.45,177.52,55.03,-780.36
Andalucía,GN,PALOS3,Sit1_competitive,1397,815.45,1000.0,47.88,241.22,193.34,68.14,-747.31
Andalucía,GN,PALOS3,Sit3_joint_pivot,213,886.57,1000.0,32.89,243.98,211.09,55.37,-831.55
Andalucía,GN,SROQ1,Sit1_competitive,357,890.28,1000.0,2.97,131.75,128.78,83.95,-805.83
Andalucía,GN,SROQ1,Sit3_joint_pivot,83,873.52,1000.0,0.0,124.59,124.59,50.39,-823.13
Andalucía,IB,ARCOS1,Sit1_competitive,2460,155.17,356.99,16.81,212.44,195.63,67.51,-87.7
