firm,tech_group,pdbf_mwh,phf_mwh,month,intervention_mwh
GE,CCGT,259424.09999999992,424944.10000000015,2024-01-01,165520.00000000023
GE,Hydro,683188.6000000064,672024.3000000007,2024-01-01,-11164.300000005635
GE,Hydro_pump,97255.30000000005,84585.7,2024-01-01,-12669.60000000005
GE,Nuclear,2252973.4999999995,2227860.0999999996,2024-01-01,-25113.399999999907
GE,Solar PV,38.59999999999997,38.59999999999997,2024-01-01,0.0
GN,CCGT,119074.20000000001,508395.5,2024-01-01,389321.3
GN,Hydro,600894.7000000007,588959.7999999998,2024-01-01,-11934.900000000838
GN,Hydro_pump,2697.0,7774.8,2024-01-01,5077.8
GN,Solar PV,39194.80000000003,37180.20000000002,2024-01-01,-2014.600000000013
GN,Wind,341101.80000000034,313542.8999999998,2024-01-01,-27558.900000000547
HC,CCGT,41071.2,83706.90000000001,2024-01-01,42635.70000000001
HC,Hydro,94497.59999999999,101790.09999999999,2024-01-01,7292.5
HC,Solar PV,479.7,503.20000000000005,2024-01-01,23.500000000000057
HC,Wind,435310.60000000003,422803.5000000001,2024-01-01,-12507.099999999919
IB,CCGT,175331.70000000007,300948.7,2024-01-01,125616.99999999994
IB,Hydro,2157797.500000004,2200168.900000005,2024-01-01,42371.40000000084
IB,Hydro_pump,124093.1,167958.0,2024-01-01,43864.899999999994
IB,Nuclear,2983097.0000000116,2956878.300000004,2024-01-01,-26218.700000007637
IB,Solar PV,138383.4,131989.09999999998,2024-01-01,-6394.3000000000175
IB,Wind,1041804.6000000003,1035767.8,2024-01-01,-6036.800000000279
GE,CCGT,29754.29999999999,239584.59999999998,2024-02-01,209830.3
GE,Hydro,548196.200000003,532192.5000000005,2024-02-01,-16003.700000002515
GE,Hydro_pump,122575.40000000023,119189.00000000013,2024-02-01,-3386.400000000096
GE,Nuclear,1995482.7999999996,1906294.399999999,2024-02-01,-89188.4000000006
GE,Solar PV,45.19999999999996,45.19999999999996,2024-02-01,0.0
GN,CCGT,8698.3,322050.80000000016,2024-02-01,313352.5000000002
GN,Hydro,483257.5999999993,479571.7999999998,2024-02-01,-3685.7999999994645
GN,Hydro_pump,819.0,5712.200000000001,2024-02-01,4893.200000000001
GN,Solar PV,45606.70000000001,44878.10000000002,2024-02-01,-728.5999999999913
GN,Wind,402489.1000000001,387370.29999999993,2024-02-01,-15118.800000000163
HC,CCGT,450.0,21286.699999999997,2024-02-01,20836.699999999997
HC,Hydro,67429.80000000002,67168.59999999999,2024-02-01,-261.2000000000262
HC,Solar PV,768.0,774.5999999999999,2024-02-01,6.599999999999909
HC,Wind,523394.4000000004,511140.3999999998,2024-02-01,-12254.000000000582
IB,CCGT,13801.099999999999,156101.3,2024-02-01,142300.19999999998
IB,Hydro,1783295.1999999997,1822260.7000000002,2024-02-01,38965.500000000466
IB,Hydro_pump,164871.30000000002,202100.7,2024-02-01,37229.399999999994
IB,Nuclear,2632186.5999999987,2619410.7999999984,2024-02-01,-12775.80000000028
IB,Solar PV,137391.49999999997,134159.0,2024-02-01,-3232.499999999971
IB,Wind,1051362.9,1059669.6,2024-02-01,8306.700000000186
GE,CCGT,27036.699999999997,185702.0,2024-03-01,158665.3
GE,Hydro,1080563.2999999998,947021.999999999,2024-03-01,-133541.30000000086
GE,Hydro_pump,165368.00000000044,165542.00000000044,2024-03-01,174.0
GE,Nuclear,1167509.3999999997,1995703.7000000007,2024-03-01,828194.300000001
GE,Solar PV,51.899999999999935,51.89999999999992,2024-03-01,-1.4210854715202004e-14
GN,CCGT,20995.0,376868.8,2024-03-01,355873.8
GN,Hydro,750616.9000000014,753652.6,2024-03-01,3035.6999999985565
GN,Hydro_pump,2366.4,5477.6,2024-03-01,3111.2000000000003
GN,Solar PV,51800.30000000002,48823.60000000002,2024-03-01,-2976.699999999997
GN,Wind,435679.99999999977,411953.29999999993,2024-03-01,-23726.699999999837
HC,CCGT,150.0,21890.0,2024-03-01,21740.0
HC,Hydro,155784.09999999995,150780.3,2024-03-01,-5003.799999999959
HC,Solar PV,1017.0999999999999,1022.4,2024-03-01,5.300000000000068
HC,Wind,501653.3,474147.20000000007,2024-03-01,-27506.09999999992
IB,CCGT,32360.800000000003,192096.5,2024-03-01,159735.7
IB,Hydro,2586880.0999999894,2599335.8999999966,2024-03-01,12455.800000007264
IB,Hydro_pump,185071.30000000002,177431.0,2024-03-01,-7640.3000000000175
IB,Nuclear,1469691.0,1496586.6999999993,2024-03-01,26895.699999999255
