firm,tech_group,regime,up_mwh,dn_mwh,up_rev_M,dn_rev_M,net_rev_M
GE,CCGT,3-sess,1232221.1,0.0,195.3,0.0,195.3
GE,CCGT,DA15/ID15,1995452.8000000003,0.0,343.2,0.0,343.2
GE,CCGT,DA60/ID15 post-blk,2003042.4749999987,0.0,331.1,0.0,331.1
GE,CCGT,DA60/ID15 pre-blk,216950.44999999992,0.0,31.5,0.0,31.5
GE,CCGT,ISP15-win,875346.5250000001,0.0,163.9,0.0,163.9
GE,Hydro,3-sess,0.0,63508.40000000503,0.0,4.8,4.8
GE,Hydro,DA15/ID15,318457.1499999991,1271203.5749999695,54.8,2396.5,2451.3
GE,Hydro,DA60/ID15 post-blk,0.0,1006268.1249999966,0.0,172.6,172.6
GE,Hydro,DA60/ID15 pre-blk,0.0,202742.62500000163,0.0,9.8,9.8
GE,Hydro,ISP15-win,4135.399999994901,330873.9249999962,0.8,31.3,32.1
GE,Hydro_pump,3-sess,20725.099999999904,12492.900000000052,3.3,0.9,4.2
GE,Hydro_pump,DA15/ID15,19393.074999999997,55956.79999999955,3.3,105.5,108.8
GE,Hydro_pump,DA60/ID15 post-blk,0.0,81384.42499999907,0.0,14.0,14.0
GE,Hydro_pump,DA60/ID15 pre-blk,451.47499999996217,0.0,0.1,0.0,0.1
GE,Hydro_pump,ISP15-win,16541.500000000022,5222.900000000009,3.1,0.5,3.6
GE,Nuclear,3-sess,80021.59999999986,0.0,12.7,0.0,12.7
GE,Nuclear,DA15/ID15,1146055.075000003,465479.29999999,197.1,877.5,1074.6
GE,Nuclear,DA60/ID15 post-blk,503066.075000006,45226.9999999993,83.2,7.8,91.0
GE,Nuclear,DA60/ID15 pre-blk,525168.8750000014,0.0,76.2,0.0,76.2
GE,Nuclear,ISP15-win,338606.62500000605,22404.19999999832,63.4,2.1,65.5
GE,Solar PV,3-sess,5.115907697472722e-13,2.842170943040401e-13,0.0,0.0,0.0
GE,Solar PV,DA15/ID15,72.12499999999991,9.750000000000101,0.0,0.0,0.0
GE,Solar PV,DA60/ID15 post-blk,1.4210854715202004e-14,2.3000000000001677,0.0,0.0,0.0
GE,Solar PV,DA60/ID15 pre-blk,0.0,6.821210263296962e-13,0.0,0.0,0.0
GE,Solar PV,ISP15-win,3.979039320256562e-13,1.1368683772161605e-13,0.0,0.0,0.0
GN,CCGT,3-sess,2120841.7,0.0,336.2,0.0,336.2
GN,CCGT,DA15/ID15,4087926.024999978,0.0,703.1,0.0,703.1
GN,CCGT,DA60/ID15 post-blk,4544417.699999977,0.0,751.2,0.0,751.2
GN,CCGT,DA60/ID15 pre-blk,578835.6999999997,0.0,84.0,0.0,84.0
GN,CCGT,ISP15-win,1798991.6249999995,0.0,336.8,0.0,336.8
GN,Hydro,3-sess,40512.500000000175,6183.500000000116,6.4,0.5,6.9
GN,Hydro,DA15/ID15,316940.3249999998,249691.15000000174,54.5,470.7,525.2
GN,Hydro,DA60/ID15 post-blk,0.0,52152.74999999923,0.0,8.9,8.9
GN,Hydro,DA60/ID15 pre-blk,0.0,16141.174999998882,0.0,0.8,0.8
GN,Hydro,ISP15-win,43854.799999999115,11249.34999999957,8.2,1.1,9.3
GN,Hydro_pump,3-sess,13751.2,0.0,2.2,0.0,2.2
GN,Hydro_pump,DA15/ID15,7331.275,647.575,1.3,1.2,2.5
GN,Hydro_pump,DA60/ID15 post-blk,21139.625,0.0,3.5,0.0,3.5
GN,Hydro_pump,DA60/ID15 pre-blk,4699.474999999999,0.0,0.7,0.0,0.7
GN,Hydro_pump,ISP15-win,21890.15,0.0,4.1,0.0,4.1
GN,Solar PV,3-sess,0.0,13434.60000000005,0.0,1.0,1.0
GN,Solar PV,DA15/ID15,14192.900000000067,22964.549999999937,2.4,43.3,45.7
GN,Solar PV,DA60/ID15 post-blk,0.0,74877.85000000049,0.0,12.8,12.8
GN,Solar PV,DA60/ID15 pre-blk,1106.1250000000728,0.0,0.2,0.0,0.2
GN,Solar PV,ISP15-win,0.0,6209.899999999943,0.0,0.6,0.6
GN,Wind,3-sess,4956.599999999802,17724.899999999616,0.8,1.3,2.1
GN,Wind,DA15/ID15,282792.7000000017,320549.9999999989,48.6,604.3,652.9
GN,Wind,DA60/ID15 post-blk,11708.400000001071,21366.850000000035,1.9,3.7,5.6
GN,Wind,DA60/ID15 pre-blk,2161.750000000582,0.0,0.3,0.0,0.3
GN,Wind,ISP15-win,3372.7000000002154,4168.500000001979,0.6,0.4,1.0
HC,CCGT,3-sess,241552.30000000002,0.0,38.3,0.0,38.3
HC,CCGT,DA15/ID15,334480.0999999998,0.0,57.5,0.0,57.5
HC,CCGT,DA60/ID15 post-blk,511953.7249999999,0.0,84.6,0.0,84.6
HC,CCGT,DA60/ID15 pre-blk,57627.675,0.0,8.4,0.0,8.4
HC,CCGT,ISP15-win,281972.80000000005,0.0,52.8,0.0,52.8
HC,Hydro,3-sess,35889.399999999805,0.0,5.7,0.0,5.7
HC,Hydro,DA15/ID15,66595.64999999906,38436.82500000046,11.5,72.5,84.0
HC,Hydro,DA60/ID15 post-blk,0.0,64619.82499999967,0.0,11.1,11.1
HC,Hydro,DA60/ID15 pre-blk,0.0,12637.32500000004,0.0,0.6,0.6
HC,Hydro,ISP15-win,10773.199999999866,13835.124999999985,2.0,1.3,3.3
HC,Solar PV,3-sess,208.60000000000173,62.49999999999727,0.0,0.0,0.0
