firm,pdbf_mwh,month,phf_mwh,intervention_mwh,intervention_share
EDP-PT,49522.899999999994,2024-01-01,46650.0,-2872.899999999994,-0.05801154617358827
EDP-PT,32918.0,2024-07-01,38282.0,5364.0,0.16295036150434414
EDP-PT,120.0,2024-08-01,14901.0,14781.0,123.175
EDP-PT,12901.1,2024-09-01,101016.1,88115.0,6.830037748719101
EDP-PT,120.0,2024-10-01,75740.1,75620.1,630.1675
EDP-PT,23326.0,2024-11-01,188980.9,165654.9,7.101727685844122
EDP-PT,149077.1,2024-12-01,320719.0,171641.9,1.1513632878557472
EDP-PT,54225.0,2025-01-01,309065.5,254840.5,4.6996864914707235
EDP-PT,0.0,2025-02-01,232562.6,232562.6,
EDP-PT,0.0,2025-03-01,248850.57499999998,248850.57499999998,
EDP-PT,0.0,2025-04-01,179431.0,179431.0,
EDP-PT,0.0,2025-05-01,326855.0,326855.0,
EDP-PT,0.0,2025-06-01,288046.925,288046.925,
EDP-PT,7660.0,2025-07-01,265633.25,257973.25,33.67796997389034
EDP-PT,0.0,2025-08-01,257832.62499999997,257832.62499999997,
EDP-PT,0.0,2025-09-01,258417.95,258417.95,
EDP-PT,0.0,2025-10-01,256741.99999999997,256741.99999999997,
EDP-PT,0.0,2025-11-01,255600.0,255600.0,
EDP-PT,6513.025,2025-12-01,140707.92500000002,134194.90000000002,20.604081820659374
EDP-PT,42823.350000000006,2026-01-01,110978.35,68155.0,1.5915382612523306
EDP-PT,0.0,2026-02-01,289162.5,289162.5,
Engie,0.0,2024-01-01,38737.0,38737.0,
Engie,0.0,2024-02-01,33122.7,33122.7,
Engie,2530.0,2024-03-01,72685.3,70155.3,27.729367588932806
Engie,0.0,2024-04-01,53343.3,53343.3,
Engie,0.0,2024-05-01,13479.4,13479.4,
Engie,6329.4,2024-06-01,16885.7,10556.300000000001,1.6678200145353432
Engie,16500.6,2024-07-01,12943.3,-3557.2999999999993,-0.21558609989939756
Engie,4837.399999999999,2024-08-01,6426.2,1588.800000000001,0.3284408980030598
Engie,0.0,2024-09-01,1495.5,1495.5,
Engie,0.0,2024-10-01,5733.3,5733.3,
Engie,0.0,2024-11-01,44205.7,44205.7,
Engie,4557.4,2024-12-01,69235.2,64677.799999999996,14.19181989730987
Engie,5895.6,2025-01-01,18076.1,12180.499999999998,2.0660322952710493
Engie,0.0,2025-02-01,33869.7,33869.7,
Engie,0.0,2025-03-01,20060.6,20060.6,
Engie,0.0,2025-04-01,32025.775,32025.775,
Engie,3617.0,2025-05-01,128024.25,124407.25,34.39514791263478
Engie,292.6,2025-06-01,22630.6,22338.0,76.34313055365686
Engie,1902.0,2025-07-01,36379.125,34477.125,18.126774447949526
Engie,2281.0,2025-08-01,59514.475,57233.475,25.091396317404648
Engie,0.0,2025-09-01,10993.75,10993.75,
Engie,2452.5,2025-10-01,52551.625,50099.125,20.427777777777777
Engie,0.0,2025-11-01,22417.225000000002,22417.225000000002,
Engie,3125.45,2025-12-01,180389.32499999998,177263.87499999997,56.71627285670863
Engie,3185.2,2026-01-01,132290.125,129104.925,40.53275304533468
Engie,0.0,2026-02-01,4231.7,4231.7,
GE,259424.09999999995,2024-01-01,424944.1000000001,165520.00000000015,0.6380286180042648
GE,29754.29999999999,2024-02-01,239584.6,209830.30000000002,7.052100032600333
GE,27036.699999999997,2024-03-01,185702.0,158665.3,5.868515758210137
GE,1795.6,2024-04-01,167368.8,165573.19999999998,92.21051459122299
GE,0.0,2024-05-01,208108.1,208108.1,
GE,19182.0,2024-06-01,203034.3,183852.3,9.584626212073818
GE,248477.0,2024-07-01,441722.1,193245.09999999998,0.7777182596377129
GE,347398.2,2024-08-01,480057.1000000003,132658.9000000003,0.3818640971657317
GE,234499.5,2024-09-01,395187.0000000001,160687.50000000012,0.6852360026354005
GE,52595.0,2024-10-01,400119.39999999997,347524.39999999997,6.607555851316665
GE,265290.0,2024-11-01,663395.1999999997,398105.1999999997,1.500641562064155
GE,482762.70000000007,2024-12-01,811488.4000000003,328725.7000000002,0.680926053317707
GE,227617.40000000002,2025-01-01,483062.69999999995,255445.29999999993,1.1222573493942023
GE,138314.7,2025-02-01,284687.30000000005,146372.60000000003,1.0582577267636775
GE,19723.2,2025-03-01,164526.125,144802.925,7.341756155187798
GE,2010.1000000000004,2025-04-01,218960.54999999996,216950.44999999995,107.93017760310428
GE,0.0,2025-05-01,376793.39999999985,376793.39999999985,
GE,214318.9,2025-06-01,618348.8999999997,404029.99999999965,1.885181381576705
GE,254784.60000000003,2025-07-01,614078.5999999996,359293.9999999996,1.4101872719151767
GE,215983.7,2025-08-01,624376.2250000002,408392.5250000002,1.8908488233139824
GE,127446.50000000001,2025-09-01,581979.0499999996,454532.5499999996,3.5664576900895635
GE,264305.925,2025-10-01,602818.9250000011,338513.0000000011,1.2807620563178865
GE,88062.1,2025-11-01,548783.7749999998,460721.6749999998,5.231781606389125
GE,163526.44999999992,2025-12-01,743462.3749999999,579935.9249999999,3.546434995684186
GE,159531.92499999993,2026-01-01,492843.1499999997,333311.22499999974,2.0893073596397707
GE,188.5,2026-02-01,283159.475,282970.975,1501.1722811671086
GN,119074.20000000001,2024-01-01,508395.5000000001,389321.3000000001,3.2695688906580944
GN,8698.3,2024-02-01,322050.80000000016,313352.5000000002,36.02456801903823
GN,20995.0,2024-03-01,376868.80000000005,355873.80000000005,16.950407239819008
