unit_code,pdbf_mwh,phf_mwh,month,firm,intervention_mwh
ACE3,9050.8,26490.2,2024-01-01,IB,17439.4
ACE3,0.0,8903.1,2024-02-01,IB,8903.1
ACE3,3056.7,21138.0,2024-03-01,IB,18081.3
ACE3,0.0,11810.8,2024-04-01,IB,11810.8
ACE3,0.0,22740.2,2024-05-01,IB,22740.2
ACE3,3708.3,38969.9,2024-06-01,IB,35261.6
ACE3,25733.9,50607.8,2024-07-01,IB,24873.9
ACE3,32965.1,52331.5,2024-08-01,IB,19366.4
ACE3,16360.0,39265.100000000006,2024-09-01,IB,22905.100000000006
ACE3,3175.7,25693.0,2024-10-01,IB,22517.3
ACE3,28194.2,79501.89999999998,2024-11-01,IB,51307.69999999998
ACE3,74280.09999999999,100839.9,2024-12-01,IB,26559.800000000003
ACE3,41989.90000000001,71179.59999999999,2025-01-01,IB,29189.699999999983
ACE3,14646.400000000001,43875.90000000001,2025-02-01,IB,29229.500000000007
ACE3,0.0,30094.8,2025-03-01,IB,30094.8
ACE3,1108.5,78526.775,2025-04-01,IB,77418.275
ACE3,0.0,105933.29999999999,2025-05-01,IB,105933.29999999999
ACE3,11432.3,65499.19999999999,2025-06-01,IB,54066.899999999994
ACE3,21685.90000000001,35194.475,2025-07-01,IB,13508.57499999999
ACE3,22846.800000000014,84072.42499999999,2025-08-01,IB,61225.62499999997
ACE3,695.0,40604.274999999994,2025-09-01,IB,39909.274999999994
ACE3,315.75,6173.775,2026-01-01,IB,5858.025
ACE3,0.0,10224.774999999998,2026-02-01,IB,10224.774999999998
ACE4,14698.0,57932.99999999999,2024-01-01,GN,43234.99999999999
ACE4,3016.0,28709.7,2024-02-01,GN,25693.7
ACE4,5198.200000000001,43397.0,2024-03-01,GN,38198.8
ACE4,0.0,33949.4,2024-04-01,GN,33949.4
ACE4,0.0,70484.9,2024-05-01,GN,70484.9
ACE4,0.0,30497.0,2024-06-01,GN,30497.0
ACE4,4405.0,28409.599999999995,2024-07-01,GN,24004.599999999995
ACE4,8423.0,30106.9,2024-08-01,GN,21683.9
ACE4,1547.2,15860.1,2024-09-01,GN,14312.9
ACE4,3483.8,50898.40000000001,2024-10-01,GN,47414.600000000006
ACE4,11783.8,38166.1,2024-11-01,GN,26382.3
ACE4,28525.4,54637.3,2024-12-01,GN,26111.9
ACE4,2435.0,19474.0,2025-01-01,GN,17039.0
ACE4,9302.0,22459.5,2025-02-01,GN,13157.5
ACE4,1235.2,22259.199999999993,2025-03-01,GN,21023.999999999993
ACE4,1629.8,49027.47499999996,2025-04-01,GN,47397.67499999996
