firm,tech,regime,p10,p25,p50,p75,p90
GE,CCGT,3sess,0.13060000000000002,0.26015,0.44,0.6459999999999999,0.88734
GE,CCGT,DA15_ID15,0.44000000000000006,0.5860000000000001,0.7335625,0.90919375,1.1920175
GE,CCGT,ISP15win,0.125,0.22265000000000004,0.41,0.64015,0.88518
GE,CCGT,MTU15IDA_post,0.375,0.531875,0.6556,0.8064374999999999,1.1091
GE,CCGT,MTU15IDA_pre,0.136,0.1365125,0.29100000000000004,0.427475,0.4568700000000002
GE,Hydro,3sess,-0.007420000000000003,0.02280000000000002,0.4286,0.7102499999999999,0.9169999999999999
GE,Hydro,DA15_ID15,-0.47361000000000003,-0.3088375,0.1078375,0.460675,0.90303
GE,Hydro,ISP15win,-0.030979999999999976,0.04542499999999998,0.60995,0.8776999999999999,1.0780800000000001
GE,Hydro,MTU15IDA_post,0.033545000000000005,0.3555500000000001,0.6709499999999999,1.04525,1.3338600000000003
GE,Hydro,MTU15IDA_pre,-0.3139049999999998,0.48635,0.9474,1.3613374999999999,1.8799550000000003
GE,Hydro_pump,3sess,-0.20700000000000002,-0.075,0.0,0.025,0.093
GE,Hydro_pump,DA15_ID15,-0.3397974999999999,-0.15637500000000001,-0.027475,0.0,0.06093499999999994
GE,Hydro_pump,ISP15win,-0.2,-0.073,0.0,0.0,0.05
GE,Hydro_pump,MTU15IDA_post,-0.264,-0.073,0.0,0.11,0.2586500000000002
GE,Hydro_pump,MTU15IDA_pre,-0.41800000000000004,-0.146,0.0,0.059762499999999996,0.16610000000000008
GN,CCGT,3sess,0.023,0.242,0.47350000000000003,0.8320000000000001,1.1825
GN,CCGT,DA15_ID15,0.51909,0.87438125,1.37655,1.7688875,2.2292725
GN,CCGT,ISP15win,0.165,0.3103,0.54125,0.9090999999999999,1.2819500000000001
GN,CCGT,MTU15IDA_post,0.7029850000000001,0.98065,1.30215,1.6129,2.0866849999999997
GN,CCGT,MTU15IDA_pre,0.17705500000000002,0.3305,0.617525,0.9423375,1.2626
GN,Hydro,3sess,0.0607,0.097275,0.2138,0.34950000000000003,0.4676
GN,Hydro,DA15_ID15,0.0451,0.1502,0.29910000000000003,0.5111375,1.0407325
GN,Hydro,ISP15win,0.16547,0.26637500000000003,0.45275,0.7252,0.84188
GN,Hydro,MTU15IDA_post,0.040900000000000006,0.0722,0.143925,0.3399375,0.68073
GN,Hydro,MTU15IDA_pre,0.4326,0.4945,0.6174,0.7711,0.91638
GN,Hydro_pump,3sess,-0.052,0.0,0.0,0.0,0.0
GN,Hydro_pump,DA15_ID15,-0.063805,-0.026,0.0,0.0,0.0
GN,Hydro_pump,ISP15win,-0.052,0.0,0.0,0.0,0.045
GN,Hydro_pump,MTU15IDA_post,-0.11755000000000002,-0.052,0.0,0.0,0.045
GN,Hydro_pump,MTU15IDA_pre,-0.104,-0.052,0.0,0.0,0.033
HC,CCGT,3sess,0.0,0.0,0.235,0.295,0.46837999999999985
HC,CCGT,DA15_ID15,0.155,0.355,0.355,0.597875,0.8690999999999999
HC,CCGT,ISP15win,0.27,0.31,0.54,0.62925,0.79
HC,CCGT,MTU15IDA_post,0.355,0.355,0.510175,0.62831875,0.75
HC,CCGT,MTU15IDA_pre,0.17900000000000005,0.27,0.27249999999999996,0.3787125,0.52
HC,Hydro,3sess,0.20810000000000003,0.37695,0.8403499999999999,1.710575,2.88173
HC,Hydro,DA15_ID15,0.5112775,0.915875,1.709775,3.0096875,4.144545
HC,Hydro,ISP15win,0.38364,0.7795,1.98285,3.6498999999999997,5.25437
HC,Hydro,MTU15IDA_post,0.26943,0.481425,1.1811124999999998,2.2145625,3.3994325000000005
HC,Hydro,MTU15IDA_pre,1.02406,1.4352749999999999,2.546075,3.9218,4.9498299999999995
HC,Hydro_pump,3sess,-1.0317999999999998,-0.5864,-0.15,0.0,0.0
HC,Hydro_pump,DA15_ID15,-0.8929499999999999,-0.44275,-0.098525,0.0,0.0
HC,Hydro_pump,ISP15win,-1.28322,-0.6627,-0.252,0.0,0.0
HC,Hydro_pump,MTU15IDA_post,-1.2212075,-0.7227874999999999,-0.2613625,0.0,0.0
HC,Hydro_pump,MTU15IDA_pre,-1.21137,-0.91265,-0.19397499999999998,0.0,0.0
IB,CCGT,3sess,0.0,0.005,0.175,0.35,0.5398400000000002
IB,CCGT,DA15_ID15,0.176,0.352,0.5269999999999999,0.7110000000000001,0.966275
IB,CCGT,ISP15win,0.0,0.0,0.15155000000000002,0.2597,0.47500000000000003
IB,CCGT,MTU15IDA_post,0.14751000000000003,0.305,0.3799625,0.536,0.7431725000000003
IB,CCGT,MTU15IDA_pre,0.00627,0.14,0.17,0.31000000000000005,0.3665
IB,Hydro,3sess,0.20067,0.37505,0.976,2.164425,3.43272
IB,Hydro,DA15_ID15,0.19756250000000006,0.4980375,1.7179,3.1317250000000003,4.495069999999999
IB,Hydro,ISP15win,0.28281,0.5345,1.60725,2.8651500000000008,4.086380000000001
IB,Hydro,MTU15IDA_post,0.13682000000000002,0.2929,1.32835,3.32,4.91068
IB,Hydro,MTU15IDA_pre,1.0629,1.6036375,3.1476999999999995,5.1644625,7.031575000000001
IB,Hydro_pump,3sess,-0.948,-0.66,0.0,0.0,0.17179999999999995
IB,Hydro_pump,DA15_ID15,-1.3618499999999998,-0.7658500000000001,-0.055,0.0,0.09304749999999995
IB,Hydro_pump,ISP15win,-0.7272899999999998,-0.31369999999999987,0.0,0.0,0.15
IB,Hydro_pump,MTU15IDA_post,-1.1822249999999999,-0.8477999999999999,0.0,0.2687125,0.892
IB,Hydro_pump,MTU15IDA_pre,-2.00956,-1.39975,-0.42300000000000004,0.23172500000000001,0.6306
REP,CCGT,3sess,0.0,0.0,0.02,0.20925,0.32
REP,CCGT,DA15_ID15,-0.03480749999999994,0.155,0.32,0.4473125,0.59407
REP,CCGT,ISP15win,-0.03035999999999997,0.0,0.0,0.145,0.3
REP,CCGT,MTU15IDA_post,0.145,0.29,0.30000000000000004,0.45799999999999996,0.6628950000000005
REP,CCGT,MTU15IDA_pre,0.0,0.0,0.145,0.147,0.2275
