firm,tech,hour_class,regime,gap_gwh
GE,CCGT,Critical,3sess,5.024998224852071
GE,CCGT,Critical,DA15_ID15,9.0877352
GE,CCGT,Critical,ISP15win,4.592522222222222
GE,CCGT,Critical,MTU15IDA_post,8.173179807692307
GE,CCGT,Critical,MTU15IDA_pre,3.198315625
GE,CCGT,Flat,3sess,1.751500595238095
GE,CCGT,Flat,DA15_ID15,2.1701216
GE,CCGT,Flat,ISP15win,1.7989601851851853
GE,CCGT,Flat,MTU15IDA_post,2.146154166666667
GE,CCGT,Flat,MTU15IDA_pre,1.0319125
GE,CCGT,Midday,3sess,1.6761461538461537
GE,CCGT,Midday,DA15_ID15,2.8597704
GE,CCGT,Midday,ISP15win,1.787987962962963
GE,CCGT,Midday,MTU15IDA_post,2.3985433870967743
GE,CCGT,Midday,MTU15IDA_pre,1.2339025
GE,Hydro,Critical,3sess,5.693891764705882
GE,Hydro,Critical,DA15_ID15,3.1093944000000002
GE,Hydro,Critical,ISP15win,7.594520370370371
GE,Hydro,Critical,MTU15IDA_post,9.60481907051282
GE,Hydro,Critical,MTU15IDA_pre,13.59674625
GE,Hydro,Flat,3sess,1.1984552941176472
GE,Hydro,Flat,DA15_ID15,0.1118364
GE,Hydro,Flat,ISP15win,1.194797222222222
GE,Hydro,Flat,MTU15IDA_post,0.307625
GE,Hydro,Flat,MTU15IDA_pre,-0.522784375
GE,Hydro,Midday,3sess,0.5759488235294118
GE,Hydro,Midday,DA15_ID15,-0.23714399999999997
GE,Hydro,Midday,ISP15win,0.9575907407407407
GE,Hydro,Midday,MTU15IDA_post,3.041922596153846
GE,Hydro,Midday,MTU15IDA_pre,4.014286875
GE,Hydro_pump,Critical,3sess,-0.22384058823529412
GE,Hydro_pump,Critical,DA15_ID15,-0.5099328
GE,Hydro_pump,Critical,ISP15win,-0.2349462962962963
GE,Hydro_pump,Critical,MTU15IDA_post,0.29509471153846156
GE,Hydro_pump,Critical,MTU15IDA_pre,-0.274675625
GE,Hydro_pump,Flat,3sess,-0.1022764705882353
GE,Hydro_pump,Flat,DA15_ID15,-0.3248552
GE,Hydro_pump,Flat,ISP15win,-0.21087407407407407
GE,Hydro_pump,Flat,MTU15IDA_post,0.30564551282051283
GE,Hydro_pump,Flat,MTU15IDA_pre,0.052141875000000004
GE,Hydro_pump,Midday,3sess,-0.42740591715976334
GE,Hydro_pump,Midday,DA15_ID15,-0.6662676000000001
GE,Hydro_pump,Midday,ISP15win,-0.40746388888888885
GE,Hydro_pump,Midday,MTU15IDA_post,-0.46717067307692306
GE,Hydro_pump,Midday,MTU15IDA_pre,-1.020963125
GN,CCGT,Critical,3sess,6.478994082840237
GN,CCGT,Critical,DA15_ID15,16.5910804
GN,CCGT,Critical,ISP15win,6.691066666666666
GN,CCGT,Critical,MTU15IDA_post,16.078532211538462
GN,CCGT,Critical,MTU15IDA_pre,6.99721
GN,CCGT,Flat,3sess,2.5336846153846153
GN,CCGT,Flat,DA15_ID15,3.620221
GN,CCGT,Flat,ISP15win,3.136276851851852
GN,CCGT,Flat,MTU15IDA_post,4.216443910256411
GN,CCGT,Flat,MTU15IDA_pre,3.216525625
GN,CCGT,Midday,3sess,1.2079615384615385
GN,CCGT,Midday,DA15_ID15,5.101666
GN,CCGT,Midday,ISP15win,1.6395231481481483
GN,CCGT,Midday,MTU15IDA_post,4.497982258064516
GN,CCGT,Midday,MTU15IDA_pre,1.904564375
GN,Hydro,Critical,3sess,3.1770751479289943
GN,Hydro,Critical,DA15_ID15,4.947555400000001
GN,Hydro,Critical,ISP15win,5.870403703703704
GN,Hydro,Critical,MTU15IDA_post,3.200960806451613
GN,Hydro,Critical,MTU15IDA_pre,7.8321
GN,Hydro,Flat,3sess,0.6031905325443787
GN,Hydro,Flat,DA15_ID15,0.9511468
GN,Hydro,Flat,ISP15win,1.3384472222222223
GN,Hydro,Flat,MTU15IDA_post,0.7806201612903226
GN,Hydro,Flat,MTU15IDA_pre,1.9544912499999998
GN,Hydro,Midday,3sess,0.5589497041420118
GN,Hydro,Midday,DA15_ID15,1.0986396
GN,Hydro,Midday,ISP15win,1.7072407407407408
GN,Hydro,Midday,MTU15IDA_post,0.5938846774193549
GN,Hydro,Midday,MTU15IDA_pre,2.1032487499999997
GN,Hydro_pump,Critical,3sess,-0.0404188679245283
GN,Hydro_pump,Critical,DA15_ID15,-0.11817128099173553
GN,Hydro_pump,Critical,ISP15win,0.12262244897959183
GN,Hydro_pump,Critical,MTU15IDA_post,-0.22326554487179487
GN,Hydro_pump,Critical,MTU15IDA_pre,-0.12712874999999998
GN,Hydro_pump,Flat,3sess,-0.021296178343949045
GN,Hydro_pump,Flat,DA15_ID15,-0.07556932773109243
GN,Hydro_pump,Flat,ISP15win,-0.030090625
GN,Hydro_pump,Flat,MTU15IDA_post,0.013551290322580645
GN,Hydro_pump,Flat,MTU15IDA_pre,-0.058100624999999996
GN,Hydro_pump,Midday,3sess,-0.14498364779874212
GN,Hydro_pump,Midday,DA15_ID15,-0.06147066115702479
GN,Hydro_pump,Midday,ISP15win,-0.10490102040816325
GN,Hydro_pump,Midday,MTU15IDA_post,-0.25194278846153845
GN,Hydro_pump,Midday,MTU15IDA_pre,-0.29268125
HC,CCGT,Critical,3sess,1.8090513888888888
HC,CCGT,Critical,DA15_ID15,5.2687864
HC,CCGT,Critical,ISP15win,5.175842990654206
HC,CCGT,Critical,MTU15IDA_post,5.670809032258065
HC,CCGT,Critical,MTU15IDA_pre,3.424094375
HC,CCGT,Flat,3sess,0.8320015267175572
HC,CCGT,Flat,DA15_ID15,1.5359482
HC,CCGT,Flat,ISP15win,1.665333644859813
HC,CCGT,Flat,MTU15IDA_post,1.8343893548387098
HC,CCGT,Flat,MTU15IDA_pre,1.27483125
HC,CCGT,Midday,3sess,0.9188756944444445
HC,CCGT,Midday,DA15_ID15,1.6605016000000001
HC,CCGT,Midday,ISP15win,2.1888177570093457
HC,CCGT,Midday,MTU15IDA_post,1.8595577419354838
HC,CCGT,Midday,MTU15IDA_pre,1.239098125
HC,Hydro,Critical,3sess,18.627655882352943
HC,Hydro,Critical,DA15_ID15,29.997944800000003
HC,Hydro,Critical,ISP15win,35.25629166666667
HC,Hydro,Critical,MTU15IDA_post,20.75698012820513
HC,Hydro,Critical,MTU15IDA_pre,37.178231249999996
HC,Hydro,Flat,3sess,2.8141676470588237
HC,Hydro,Flat,DA15_ID15,3.9562247999999998
HC,Hydro,Flat,ISP15win,4.833977777777778
HC,Hydro,Flat,MTU15IDA_post,4.477640865384616
HC,Hydro,Flat,MTU15IDA_pre,8.75980625
HC,Hydro,Midday,3sess,1.5897288235294116
HC,Hydro,Midday,DA15_ID15,4.9668244
HC,Hydro,Midday,ISP15win,4.682779629629629
HC,Hydro,Midday,MTU15IDA_post,2.3744934294871793
HC,Hydro,Midday,MTU15IDA_pre,4.8754656249999995
HC,Hydro_pump,Critical,3sess,-1.677057831325301
HC,Hydro_pump,Critical,DA15_ID15,-1.461265
HC,Hydro_pump,Critical,ISP15win,-1.6577722772277228
HC,Hydro_pump,Critical,MTU15IDA_post,-3.265514772727273
HC,Hydro_pump,Critical,MTU15IDA_pre,-3.3069106249999995
HC,Hydro_pump,Flat,3sess,-0.6284075630252101
HC,Hydro_pump,Flat,DA15_ID15,-0.8725831967213115
HC,Hydro_pump,Flat,ISP15win,-1.2064945652173913
HC,Hydro_pump,Flat,MTU15IDA_post,-0.410894465648855
HC,Hydro_pump,Flat,MTU15IDA_pre,-0.4247526315789473
