regime,service,up_mwh,dn_mwh
3-sess (Jun-Nov 24),Fase I (PDBF),2661189.2219999777,37.5
3-sess (Jun-Nov 24),Fase II,6721.816999999999,0.0
3-sess (Jun-Nov 24),GD (Gestion Desvios),104960.79199999999,366103.79900000046
3-sess (Jun-Nov 24),Other (19),4973.099999999995,0.0
3-sess (Jun-Nov 24),RES curt (33),0.0,360200.7219999996
3-sess (Jun-Nov 24),RES curt (34),0.0,2717.1590000000033
3-sess (Jun-Nov 24),TR (PO 3.2),1205535.0750000007,1706341.1749999986
3-sess (Jun-Nov 24),TR (PO 3.4),5727.362000000003,16023.831999999984
3-sess (Jun-Nov 24),TR (PO 3.x),57.0,0.0
3-sess (Jun-Nov 24),TR (curtail RT),43619.53499999999,134373.3259999998
3-sess (Jun-Nov 24),TR (other),239.575,5015.696
3-sess (Jun-Nov 24),aFRR energy SEPE,1063975.1249999988,1026262.5000000013
3-sess (Jun-Nov 24),aFRR energy SEPE up,23621.664000000004,16958.573
3-sess (Jun-Nov 24),mFRR,740165.4999999999,565920.3
3-sess (Jun-Nov 24),mFRR (alt),1816.85,0.0
DA15/ID15 (Oct-Dec 25),Fase I (PDBF),731625.382,0.0
DA15/ID15 (Oct-Dec 25),Fase II,1525.5,0.0
DA15/ID15 (Oct-Dec 25),GD (Gestion Desvios),187338.98299999998,106768.82500000001
DA15/ID15 (Oct-Dec 25),Other (19),1020.325,0.0
DA15/ID15 (Oct-Dec 25),Other (38),0.0,40.1
DA15/ID15 (Oct-Dec 25),RES curt (33),0.0,313622.45900000044
DA15/ID15 (Oct-Dec 25),RES curt (34),0.0,1597.3399999999976
DA15/ID15 (Oct-Dec 25),RR,65787.875,61275.475
DA15/ID15 (Oct-Dec 25),TR (PO 3.2),777117.3500000003,465524.95000000007
DA15/ID15 (Oct-Dec 25),TR (PO 3.4),36812.90800000021,25227.035999999975
DA15/ID15 (Oct-Dec 25),TR (curtail RT),28099.187999999995,96937.76999999933
DA15/ID15 (Oct-Dec 25),TR (other),399.05899999999997,4440.676
DA15/ID15 (Oct-Dec 25),aFRR energy SEPE,1051167.5,468290.3
DA15/ID15 (Oct-Dec 25),aFRR energy SEPE up,38452.248,22778.82
DA15/ID15 (Oct-Dec 25),mFRR,236854.47500000003,178331.62499999997
DA60/ID15 post-blk,Fase I (PDBF),2055383.7940000095,0.0
DA60/ID15 post-blk,Fase II,2590.560000000003,0.0
DA60/ID15 post-blk,GD (Gestion Desvios),310351.2590000001,363358.2750000001
DA60/ID15 post-blk,Other (19),6371.6,0.0
DA60/ID15 post-blk,Other (38),0.0,31.225000000000005
DA60/ID15 post-blk,Other (89),16091.25,0.0
DA60/ID15 post-blk,RES curt (33),0.0,983663.1819999991
DA60/ID15 post-blk,RES curt (34),0.0,11214.325999999968
DA60/ID15 post-blk,RR,166446.25,179756.975
DA60/ID15 post-blk,TR (PO 3.2),853092.6000000002,1269134.7750000001
DA60/ID15 post-blk,TR (PO 3.4),11540.102999999985,14113.819
DA60/ID15 post-blk,TR (curtail RT),49243.96100000002,162866.6360000001
DA60/ID15 post-blk,TR (other),420.22499999999997,3390.7000000000003
DA60/ID15 post-blk,aFRR energy SEPE,1369093.775,1082413.5499999998
DA60/ID15 post-blk,aFRR energy SEPE up,52783.09000000001,44535.38499999998
DA60/ID15 post-blk,mFRR,525358.0999999999,289764.1500000001
DA60/ID15 pre-blk,Fase I (PDBF),580064.1749999989,0.0
DA60/ID15 pre-blk,Fase II,51.425,0.0
