month,channel,up_gwh,dn_gwh
2024-01-01,Catch-all 'other' bucket (81),129.86122499999993,230.29607499999995
2024-01-01,RT general (33),0.0,46.72252399999992
2024-01-01,"RT system-security RZ, PO 3.2 (61)",207.07994999999994,283.1813
2024-01-01,Reserve management (68),0.0,0.270717
2024-01-01,System balancing / residual imbalance (94),58.60399999999997,151.15639999999993
2024-01-01,Uncategorised (project doc silent),1.7131599999999998,2.57543
2024-01-01,Voltage control / black-start (69),1.5474340000000002,22.42371000000002
2024-01-01,mFRR activation (92),78.91250799999996,33.01743400000001
2024-02-01,Catch-all 'other' bucket (81),123.34127500000002,276.00582500000024
2024-02-01,RT general (33),0.0,45.80474399999993
2024-02-01,RT inter-zonal / network (34),0.0,0.5325400000000001
2024-02-01,"RT system-security RZ, PO 3.2 (61)",132.490425,334.85102500000005
2024-02-01,Reserve management (68),0.098,0.0
2024-02-01,System balancing / residual imbalance (94),74.05779999999999,89.63419999999998
2024-02-01,Uncategorised (project doc silent),2.168001,7.445786000000001
2024-02-01,Voltage control / black-start (69),6.796032,20.528960000000012
2024-02-01,mFRR activation (92),97.98318300000008,12.713299999999995
2024-03-01,Catch-all 'other' bucket (81),192.85870000000014,241.72414999999998
2024-03-01,RT general (33),0.0,34.76843599999998
2024-03-01,RT inter-zonal / network (34),0.0,0.00095
2024-03-01,"RT system-security RZ, PO 3.2 (61)",166.20235000000002,361.8563500000001
2024-03-01,Reserve management (68),0.0175,0.7367080000000003
2024-03-01,System balancing / residual imbalance (94),135.35579999999996,69.7303
2024-03-01,Uncategorised (project doc silent),5.226574,3.6138389999999996
2024-03-01,Voltage control / black-start (69),5.2541150000000005,22.277134000000025
2024-03-01,mFRR activation (92),143.2830500000002,5.377800000000001
2024-04-01,Catch-all 'other' bucket (81),123.51507500000001,300.7615499999998
2024-04-01,RT general (33),0.0,73.61973600000006
2024-04-01,RT inter-zonal / network (34),0.0,0.9336649999999997
2024-04-01,"RT system-security RZ, PO 3.2 (61)",114.42925,528.46905
2024-04-01,Reserve management (68),0.03,0.392325
2024-04-01,System balancing / residual imbalance (94),193.23080000000004,68.086
2024-04-01,Uncategorised (project doc silent),3.3173259999999996,3.326069
2024-04-01,Voltage control / black-start (69),5.771340000000002,21.137244000000045
2024-04-01,mFRR activation (92),127.90135899999984,12.739299999999997
2024-05-01,Catch-all 'other' bucket (81),165.91654999999994,254.49842500000014
2024-05-01,RT general (33),0.0,53.84896300000004
2024-05-01,RT inter-zonal / network (34),0.0,0.7215999999999995
2024-05-01,"RT system-security RZ, PO 3.2 (61)",127.31479999999999,326.27295
2024-05-01,Reserve management (68),0.045,1.1135209999999998
2024-05-01,System balancing / residual imbalance (94),147.81840000000003,74.8795
2024-05-01,Uncategorised (project doc silent),6.721213,6.412481999999998
2024-05-01,Voltage control / black-start (69),8.475843000000001,18.816772000000004
2024-05-01,mFRR activation (92),55.36196700000003,53.852898999999915
2024-06-01,Catch-all 'other' bucket (81),197.15820000000005,183.79157500000002
2024-06-01,RT general (33),0.0,43.74997299999988
2024-06-01,RT inter-zonal / network (34),0.0,1.244253000000001
2024-06-01,"RT system-security RZ, PO 3.2 (61)",158.0803,272.57655
2024-06-01,Reserve management (68),0.060975,1.5032670000000008
2024-06-01,System balancing / residual imbalance (94),131.605,67.275
2024-06-01,Uncategorised (project doc silent),7.505308,6.115677000000001
2024-06-01,Voltage control / black-start (69),11.325983999999998,19.492232000000037
2024-06-01,mFRR activation (92),17.125500000000002,46.034299999999995
2024-07-01,Catch-all 'other' bucket (81),257.15112499999987,132.03065000000004
2024-07-01,RT general (33),0.0,67.49022199999992
2024-07-01,RT inter-zonal / network (34),0.0,0.56861
2024-07-01,"RT system-security RZ, PO 3.2 (61)",260.79562500000003,250.37042499999998
2024-07-01,Reserve management (68),0.03,0.32715099999999997
2024-07-01,System balancing / residual imbalance (94),142.71409999999997,72.50880000000001
2024-07-01,Uncategorised (project doc silent),9.041529,6.7891780000000015
2024-07-01,Voltage control / black-start (69),10.757584000000003,33.859797999999984
2024-07-01,mFRR activation (92),20.172041999999998,95.49732400000002
2024-08-01,Catch-all 'other' bucket (81),220.049675,152.49875
2024-08-01,RT general (33),0.0,87.15320999999948
2024-08-01,RT inter-zonal / network (34),0.0,0.09542999999999997
2024-08-01,"RT system-security RZ, PO 3.2 (61)",223.80225,336.5175000000001
2024-08-01,Reserve management (68),0.0,0.7129500000000001
2024-08-01,System balancing / residual imbalance (94),166.657,84.7995
2024-08-01,Uncategorised (project doc silent),9.884993000000001,5.731585
2024-08-01,Voltage control / black-start (69),1.9833170000000004,17.50002899999995
2024-08-01,mFRR activation (92),2.7723,108.78505000000006
2024-09-01,Catch-all 'other' bucket (81),153.35560000000004,225.7806249999998
2024-09-01,RT general (33),0.0,71.49224899999997
2024-09-01,RT inter-zonal / network (34),0.0,0.06992800000000002
