month,tipo_redespacho,up_mwh,dn_mwh,code_str,channel,up_gwh,dn_gwh
2024-03-01,80,3614.8240000000005,2270.3269999999993,80,Uncategorised (project doc silent),3.6148240000000005,2.270326999999999
2025-07-01,80,12106.699999999999,9130.470000000003,80,Uncategorised (project doc silent),12.106699999999998,9.130470000000003
2024-09-01,81,153355.60000000003,225780.6249999998,81,Catch-all 'other' bucket (81),153.35560000000004,225.7806249999998
2025-06-01,61,227112.42500000002,132555.47499999998,61,"RT system-security RZ, PO 3.2 (61)",227.11242500000003,132.55547499999997
2025-06-01,66,2300.949999999998,3829.0920000000015,66,Uncategorised (project doc silent),2.300949999999998,3.8290920000000015
2024-05-01,61,127314.79999999999,326272.94999999995,61,"RT system-security RZ, PO 3.2 (61)",127.31479999999999,326.27295
2024-05-01,66,194.88299999999998,1784.383999999999,66,Uncategorised (project doc silent),0.19488299999999997,1.784383999999999
2024-02-01,68,98.0,0.0,68,Reserve management (68),0.098,0.0
2025-09-01,24,78.975,0.0,24,Uncategorised (project doc silent),0.07897499999999999,0.0
2024-08-01,68,0.0,712.95,68,Reserve management (68),0.0,0.7129500000000001
2025-05-01,94,45785.19999999999,41318.850000000006,94,System balancing / residual imbalance (94),45.78519999999999,41.318850000000005
2024-04-01,94,193230.80000000005,68086.0,94,System balancing / residual imbalance (94),193.23080000000004,68.086
2024-12-01,92,57050.73300000003,110050.71599999999,92,mFRR activation (92),57.05073300000003,110.05071599999998
2024-12-01,19,102.0,0.0,19,Uncategorised (project doc silent),0.102,0.0
2025-10-01,61,146188.15000000002,225690.27499999997,61,"RT system-security RZ, PO 3.2 (61)",146.18815000000004,225.69027499999996
2025-10-01,66,7031.365999999992,8549.394999999999,66,Uncategorised (project doc silent),7.031365999999992,8.549394999999999
2024-06-01,81,197158.20000000004,183791.575,81,Catch-all 'other' bucket (81),197.15820000000005,183.79157500000002
2026-02-01,66,8753.557999999995,5854.984000000013,66,Uncategorised (project doc silent),8.753557999999995,5.854984000000013
2025-02-01,24,2.0,0.0,24,Uncategorised (project doc silent),0.002,0.0
2024-07-01,33,0.0,67490.22199999992,33,RT general (33),0.0,67.49022199999992
2026-01-01,92,136620.0499999999,49799.59999999999,92,mFRR activation (92),136.6200499999999,49.79959999999999
2026-01-01,19,1193.0000000000005,0.0,19,Uncategorised (project doc silent),1.1930000000000005,0.0
2024-03-01,34,0.0,0.95,34,RT inter-zonal / network (34),0.0,0.00095
2025-07-01,34,0.0,3370.6190000000006,34,RT inter-zonal / network (34),0.0,3.3706190000000005
2025-06-01,24,1186.0750000000028,0.0,24,Uncategorised (project doc silent),1.1860750000000029,0.0
2024-05-01,24,327.383,0.0,24,Uncategorised (project doc silent),0.327383,0.0
2024-05-01,85,1684.9,0.0,85,Uncategorised (project doc silent),1.6849,0.0
2025-03-01,69,10318.692,27925.623000000116,69,Voltage control / black-start (69),10.318691999999999,27.925623000000115
2024-11-01,33,0.0,45231.65399999995,33,RT general (33),0.0,45.23165399999995
2025-09-01,61,110235.15000000001,383411.4249999998,61,"RT system-security RZ, PO 3.2 (61)",110.23515,383.41142499999984
2025-09-01,66,3004.8749999999986,2564.9079999999976,66,Uncategorised (project doc silent),3.004874999999999,2.5649079999999977
2025-01-01,94,86512.70000000001,142133.40000000002,94,System balancing / residual imbalance (94),86.51270000000001,142.13340000000002
2025-11-01,94,79879.925,50433.174999999996,94,System balancing / residual imbalance (94),79.879925,50.433175
2024-01-01,80,800.793,1169.7549999999999,80,Uncategorised (project doc silent),0.800793,1.1697549999999999
2024-12-01,96,8416.475,6955.325,96,Uncategorised (project doc silent),8.416475,6.955325
2025-10-01,24,250.5,0.0,24,Uncategorised (project doc silent),0.2505,0.0
2025-08-01,69,16946.678999999996,24523.07599999998,69,Voltage control / black-start (69),16.946678999999996,24.52307599999998
2026-02-01,24,2305.400000000002,0.0,24,Uncategorised (project doc silent),2.305400000000002,0.0
2024-10-01,94,141543.0,141150.10000000003,94,System balancing / residual imbalance (94),141.543,141.15010000000004
2025-02-01,61,177752.55000000002,413482.30000000005,61,"RT system-security RZ, PO 3.2 (61)",177.75255,413.48230000000007
2025-02-01,66,3294.661000000003,2950.5830000000024,66,Uncategorised (project doc silent),3.2946610000000027,2.950583000000002
2025-12-01,33,0.0,79516.36799999993,33,RT general (33),0.0,79.51636799999993
2025-04-01,94,108031.35,79068.05,94,System balancing / residual imbalance (94),108.03135,79.06805
2025-04-01,89,16091.25,0.0,89,Uncategorised (project doc silent),16.09125,0.0
2026-01-01,96,46037.25,33967.75,96,Uncategorised (project doc silent),46.03725,33.96775
2024-03-01,81,192858.70000000013,241724.15,81,Catch-all 'other' bucket (81),192.85870000000014,241.72414999999998
2025-07-01,81,352759.775,236265.775,81,Catch-all 'other' bucket (81),352.75977500000005,236.265775
2024-09-01,80,5592.826000000002,5453.24,80,Uncategorised (project doc silent),5.592826000000001,5.45324
2025-06-01,68,0.0,516.8,68,Reserve management (68),0.0,0.5167999999999999
2024-05-01,68,45.0,1113.5209999999997,68,Reserve management (68),0.045,1.1135209999999998
2025-03-01,96,34080.6,36555.05,96,Uncategorised (project doc silent),34.0806,36.55505
2025-03-01,65,200.625,0.0,65,Uncategorised (project doc silent),0.200625,0.0
2024-02-01,61,132490.425,334851.025,61,"RT system-security RZ, PO 3.2 (61)",132.490425,334.85102500000005
2024-02-01,66,569.033,1881.642,66,Uncategorised (project doc silent),0.569033,1.881642
2024-11-01,94,102950.40000000002,140514.10000000003,94,System balancing / residual imbalance (94),102.95040000000003,140.51410000000004
2024-08-01,61,223802.25,336517.5000000001,61,"RT system-security RZ, PO 3.2 (61)",223.80225,336.5175000000001
2024-08-01,66,748.275,1867.5269999999998,66,Uncategorised (project doc silent),0.748275,1.8675269999999997
2025-01-01,33,0.0,31869.54399999999,33,RT general (33),0.0,31.86954399999999
2025-11-01,33,0.0,51748.55199999995,33,RT general (33),0.0,51.748551999999954
2024-12-01,69,6524.168,28444.38999999987,69,Voltage control / black-start (69),6.5241679999999995,28.444389999999867
2025-10-01,68,0.0,1314.9749999999997,68,Reserve management (68),0.0,1.3149749999999998
2024-06-01,80,4087.525,3758.045,80,Uncategorised (project doc silent),4.087525,3.758045
2025-08-01,96,39299.75,35004.25,96,Uncategorised (project doc silent),39.29975,35.00425
2026-02-01,68,0.0,2256.85,68,Reserve management (68),0.0,2.25685
2024-10-01,33,0.0,66119.59099999993,33,RT general (33),0.0,66.11959099999993
2025-12-01,94,68568.52499999998,75386.05,94,System balancing / residual imbalance (94),68.56852499999998,75.38605
2025-04-01,33,0.0,70117.15300000018,33,RT general (33),0.0,70.11715300000019
2026-01-01,69,8109.218,32454.29500000001,69,Voltage control / black-start (69),8.109218,32.45429500000001
2024-03-01,24,129.85,0.0,24,Uncategorised (project doc silent),0.12985,0.0
2025-07-01,24,704.3180000000001,0.0,24,Uncategorised (project doc silent),0.7043180000000001,0.0
2025-06-01,34,0.0,1845.776000000001,34,RT inter-zonal / network (34),0.0,1.845776000000001
2024-05-01,34,0.0,721.5999999999995,34,RT inter-zonal / network (34),0.0,0.7215999999999995
2025-03-01,94,104176.07499999995,80632.84999999999,94,System balancing / residual imbalance (94),104.17607499999995,80.63284999999999
2025-09-01,80,10882.556,11231.898,80,Uncategorised (project doc silent),10.882556000000001,11.231898
2025-01-01,69,7186.189999999999,17421.461000000014,69,Voltage control / black-start (69),7.186189999999999,17.421461000000015
2025-11-01,69,10081.428,28266.565000000046,69,Voltage control / black-start (69),10.081428,28.266565000000046
2024-01-01,61,207079.94999999995,283181.30000000005,61,"RT system-security RZ, PO 3.2 (61)",207.07994999999994,283.1813
2024-01-01,66,534.967,1405.6749999999997,66,Uncategorised (project doc silent),0.534967,1.4056749999999998
2024-12-01,33,0.0,59995.67,33,RT general (33),0.0,59.99567
2025-10-01,34,0.0,1373.7649999999985,34,RT inter-zonal / network (34),0.0,1.3737649999999986
2025-08-01,94,154878.52500000002,58145.975,94,System balancing / residual imbalance (94),154.87852500000002,58.145975
