month,qty_up_mwh,qty_dn_mwh,net_up_mwh
2018-01-01,73771.4,81361.5,-7590.100000000006
2018-02-01,118879.79999999999,27300.0,91579.79999999999
2018-03-01,116268.3,13000.0,103268.3
2018-04-01,86431.5,36909.3,49522.2
2018-05-01,59800.1,12040.5,47759.6
2018-06-01,148266.5,48009.499999999985,100257.00000000001
2018-07-01,229658.99999999983,40487.19999999998,189171.79999999984
2018-08-01,261012.90000000002,65004.3,196008.60000000003
2018-09-01,231151.09999999998,27755.899999999998,203395.19999999998
2018-10-01,219500.49999999994,25871.1,193629.39999999994
2018-11-01,206965.70000000004,24635.1,182330.60000000003
2018-12-01,132708.1,72546.29999999997,60161.80000000003
2019-01-01,258958.8999999999,47675.49999999999,211283.3999999999
2019-02-01,79400.50000000003,80350.20000000001,-949.6999999999825
2019-03-01,94042.20000000001,96022.89999999998,-1980.699999999968
2019-04-01,151771.60000000003,71167.59999999998,80604.00000000006
2019-05-01,153919.80000000002,37680.10000000001,116239.70000000001
2019-06-01,244980.3,32434.800000000007,212545.49999999997
2019-07-01,339242.60000000003,45338.099999999984,293904.50000000006
2019-08-01,170827.69999999992,92934.70000000003,77892.9999999999
2019-09-01,134765.5000000001,106825.3,27940.200000000084
2019-10-01,193587.20000000004,68127.09999999999,125460.10000000005
2019-11-01,205264.39999999994,62287.899999999994,142976.49999999994
2019-12-01,198231.0,125613.90000000001,72617.09999999999
2020-01-01,268697.89999999997,69610.00000000001,199087.89999999997
2020-02-01,119658.60000000002,88701.79999999997,30956.800000000047
2020-03-01,88879.40000000001,91958.7,-3079.2999999999884
2020-04-01,96644.3,113400.0,-16755.699999999997
2020-05-01,128508.0,74600.0,53908.0
2020-06-01,311078.0,42509.0,268569.0
2020-07-01,323314.0,42214.0,281100.0
2020-08-01,205758.0,110725.0,95033.0
2020-09-01,150005.1,86576.0,63429.100000000006
2020-10-01,189348.3,68790.4,120557.9
2020-11-01,154473.6,90630.9,63842.70000000001
2020-12-01,200440.00000000003,54862.4,145577.60000000003
2021-01-01,276240.2,124168.0,152072.2
2021-02-01,89300.50000000001,127032.39999999998,-37731.899999999965
2021-03-01,128766.39999999998,105026.40000000001,23739.99999999997
2021-04-01,148371.2,116314.8,32056.40000000001
2021-05-01,111851.8,133153.9,-21302.09999999999
2021-06-01,182049.80000000002,55173.7,126876.10000000002
2021-07-01,184550.80000000002,64347.399999999994,120203.40000000002
2021-08-01,298829.89999999997,48510.600000000006,250319.29999999996
2021-09-01,160066.0,117881.40000000001,42184.59999999999
2021-10-01,161949.59999999998,86621.19999999998,75328.4
2021-11-01,357339.7,54505.3,302834.4
2021-12-01,282259.39999999997,114103.8,168155.59999999998
2022-01-01,244787.3,62612.7,182174.59999999998
2022-02-01,136191.80000000002,105519.19999999997,30672.60000000005
2022-03-01,225622.7,83466.20000000001,142156.5
2022-04-01,181585.4,138850.6,42734.79999999999
2022-05-01,214905.30000000002,88000.89999999997,126904.40000000005
2022-06-01,335176.8000000001,159946.5,175230.3000000001
2022-07-01,271567.05000000005,112774.34999999999,158792.70000000007
2022-08-01,134609.35,316845.45,-182236.1
2022-09-01,125828.7,271981.64999999997,-146152.94999999995
2022-10-01,238619.17500000005,164113.77500000008,74505.39999999997
2022-11-01,174742.69999999995,177276.7,-2534.000000000058
2022-12-01,295334.825,188386.32499999992,106948.50000000009
2023-01-01,241649.025,208745.67500000005,32903.34999999995
2023-02-01,222841.2,186451.09999999998,36390.100000000035
2023-03-01,147441.27499999997,419821.4250000002,-272380.15000000026
2023-04-01,106835.49999999999,342830.4,-235994.90000000002
2023-05-01,134157.925,337163.8249999997,-203005.89999999973
2023-06-01,296773.84999999986,116549.70000000004,180224.14999999982
2023-07-01,272106.0,116506.5,155599.5
2023-08-01,287813.0999999999,201179.90000000008,86633.19999999984
2023-09-01,160873.1,195827.02500000008,-34953.925000000076
2023-10-01,206141.77499999997,182309.32499999992,23832.45000000004
2023-11-01,148282.27499999994,221780.57500000004,-73498.3000000001
2023-12-01,258424.92499999996,175030.4250000001,83394.49999999985
2024-01-01,207079.94999999995,283181.30000000005,-76101.3500000001
2024-02-01,132490.425,334851.025,-202360.60000000003
2024-03-01,166202.35000000003,361856.3500000001,-195654.00000000006
2024-04-01,114429.25,528469.05,-414039.80000000005
2024-05-01,127314.79999999999,326272.94999999995,-198958.14999999997
2024-06-01,158080.3,272576.55,-114496.25
2024-07-01,260795.62500000003,250370.425,10425.20000000004
2024-08-01,223802.25,336517.5000000001,-112715.25000000012
2024-09-01,188893.15,360452.6,-171559.44999999998
2024-10-01,169949.15000000002,344476.69999999995,-174527.54999999993
2024-11-01,264495.95,262451.25000000006,2044.6999999999534
2024-12-01,289115.10000000003,255089.65000000002,34025.45000000001
2025-01-01,212742.44999999995,332759.75,-120017.30000000005
2025-02-01,177752.55000000002,413482.30000000005,-235729.75000000003
2025-03-01,146284.575,516814.6750000001,-370530.1000000001
2025-04-01,84749.775,470764.10000000003,-386014.32500000007
2025-05-01,96502.45000000001,223657.04999999996,-127154.59999999995
2025-06-01,227112.42500000002,132555.47499999998,94556.95000000004
2025-07-01,173241.47499999998,238342.94999999995,-65101.47499999998
2025-08-01,241457.34999999998,278312.125,-36854.77500000002
2025-09-01,110235.15000000001,383411.4249999998,-273176.2749999998
2025-10-01,146188.15000000002,225690.27499999997,-79502.12499999994
2025-11-01,272916.975,144194.22499999998,128722.75
2025-12-01,358012.2249999999,95640.45,262371.7749999999
