month,tipo_redespacho,qty_up_mwh,qty_dn_mwh
2018-01-01,61,73771.4,81361.5
2018-02-01,61,118879.79999999999,27300.0
2018-03-01,61,115821.5,13000.0
2018-03-01,65,446.8,0.0
2018-04-01,61,85713.1,36909.3
2018-04-01,65,718.4,0.0
2018-05-01,61,59800.1,12040.5
2018-06-01,61,148266.5,48009.499999999985
2018-07-01,61,229658.99999999983,40487.19999999998
2018-08-01,61,261012.90000000002,64974.9
2018-08-01,65,0.0,29.4
2018-09-01,61,231151.09999999998,27755.899999999998
2018-10-01,61,219500.49999999994,25871.1
2018-11-01,61,206965.70000000004,24635.1
2018-12-01,61,132708.1,72546.29999999997
2019-01-01,61,258958.8999999999,47675.49999999999
2019-02-01,61,79400.50000000003,80350.20000000001
2019-03-01,61,94042.20000000001,96022.89999999998
2019-04-01,61,151692.90000000002,71167.59999999998
2019-04-01,65,78.7,0.0
2019-05-01,61,153830.6,37680.10000000001
2019-05-01,65,89.2,0.0
2019-06-01,61,244980.3,32434.800000000007
2019-07-01,61,339242.60000000003,45338.099999999984
2019-08-01,61,170827.69999999992,92934.70000000003
2019-09-01,61,134765.5000000001,106825.3
2019-10-01,61,193587.20000000004,68127.09999999999
2019-11-01,61,205172.89999999994,62287.899999999994
2019-11-01,65,91.5,0.0
2019-12-01,61,198217.9,125613.90000000001
2019-12-01,65,13.1,0.0
2020-01-01,61,268697.89999999997,69610.00000000001
2020-02-01,61,119658.60000000002,88701.79999999997
2020-03-01,61,88879.40000000001,91958.7
2020-04-01,61,96111.0,113400.0
2020-04-01,65,533.3,0.0
2020-05-01,61,128508.0,74600.0
2020-06-01,61,311078.0,42509.0
2020-07-01,61,323314.0,42214.0
2020-08-01,61,205758.0,110725.0
2020-09-01,61,149824.0,86576.0
2020-09-01,65,181.1,0.0
2020-10-01,61,189238.4,68790.4
2020-10-01,65,109.9,0.0
2020-11-01,61,154473.6,90630.9
2020-12-01,61,200440.00000000003,54862.4
2021-01-01,61,275840.2,124168.0
2021-01-01,65,400.0,0.0
2021-02-01,61,88172.20000000001,127032.39999999998
2021-02-01,65,1128.3,0.0
2021-03-01,61,128766.39999999998,105026.40000000001
2021-04-01,61,148371.2,116314.8
2021-05-01,61,111851.8,133153.9
2021-06-01,61,182049.80000000002,55173.7
2021-07-01,61,184550.80000000002,64347.399999999994
2021-08-01,61,298829.89999999997,48510.600000000006
2021-09-01,61,160066.0,117881.40000000001
2021-10-01,61,161949.59999999998,86621.19999999998
2021-11-01,61,357339.7,54505.3
2021-12-01,61,282259.39999999997,114103.8
2022-01-01,61,244787.3,62612.7
2022-02-01,61,136191.80000000002,105519.19999999997
2022-03-01,61,225622.7,83466.20000000001
2022-04-01,61,181585.4,138850.6
2022-05-01,61,214905.30000000002,88000.89999999997
2022-06-01,61,335176.8000000001,159946.5
2022-07-01,61,271567.05000000005,112774.34999999999
2022-08-01,61,134609.35,316845.45
2022-09-01,61,125828.7,271981.64999999997
2022-10-01,61,238619.17500000005,164113.77500000008
2022-11-01,61,174742.69999999995,177218.25
2022-11-01,65,0.0,58.45
2022-12-01,61,295334.825,188386.32499999992
2023-01-01,61,241649.025,208745.67500000005
2023-02-01,61,222841.2,186451.09999999998
2023-03-01,61,147441.27499999997,419821.4250000002
2023-04-01,61,106835.49999999999,342830.4
2023-05-01,61,134157.925,337163.8249999997
2023-06-01,61,296773.84999999986,116549.70000000004
2023-07-01,61,272106.0,116506.5
2023-08-01,61,287813.0999999999,201179.90000000008
2023-09-01,61,160873.1,195827.02500000008
2023-10-01,61,206141.77499999997,182309.32499999992
2023-11-01,61,148282.27499999994,221780.57500000004
2023-12-01,61,258424.92499999996,175030.4250000001
2024-01-01,61,207079.94999999995,283181.30000000005
2024-02-01,61,132490.425,334851.025
2024-03-01,61,166202.35000000003,361856.3500000001
2024-04-01,61,114429.25,528469.05
2024-05-01,61,127314.79999999999,326272.94999999995
2024-06-01,61,158080.3,272576.55
2024-07-01,61,260795.62500000003,250370.425
2024-08-01,61,223802.25,336517.5000000001
2024-09-01,61,188836.15,360452.6
2024-09-01,65,57.0,0.0
2024-10-01,61,169949.15000000002,344476.69999999995
2024-11-01,61,264495.95,262451.25000000006
2024-12-01,61,289115.10000000003,255089.65000000002
2025-01-01,61,212742.44999999995,332759.75
2025-02-01,61,177752.55000000002,413482.30000000005
2025-03-01,61,146083.95,516814.6750000001
2025-03-01,65,200.625,0.0
2025-04-01,61,84725.775,470764.10000000003
2025-04-01,65,24.0,0.0
2025-05-01,61,96502.45000000001,223657.04999999996
2025-06-01,61,227112.42500000002,132555.47499999998
2025-07-01,61,173241.47499999998,238342.94999999995
2025-08-01,61,241457.34999999998,278312.125
2025-09-01,61,110235.15000000001,383411.4249999998
2025-10-01,61,146188.15000000002,225690.27499999997
2025-11-01,61,272916.975,144194.22499999998
2025-12-01,61,358012.2249999999,95640.45
