tech,regime,rt2_total_mwh,rt2_up_mwh,rt2_down_mwh,n_days,rt2_up_per_day
Other,pre-IDA,3446.1,3446.1,0.0,2306,1.4944058976582828
CCGT,3-sess,-175600.59999999998,2500.4999999999995,-178101.09999999998,169,14.795857988165677
Nuclear,3-sess,0.0,0.0,0.0,169,0.0
Hydro,3-sess,0.0,0.0,0.0,169,0.0
Other,ISP15-win,0.0,0.0,0.0,108,0.0
Nuclear,DA60/ID15,0.0,0.0,0.0,195,0.0
CCGT,DA60/ID15,0.0,0.0,0.0,195,0.0
Hydro,DA60/ID15,0.0,0.0,0.0,195,0.0
CCGT,pre-IDA,271818.4,273208.9,-1390.5,2357,115.9138311412813
Hydro,pre-IDA,-5779761.099999998,63604.69999999999,-5843365.799999997,2357,26.98544760288502
Nuclear,pre-IDA,-27647013.299999967,16580.0,-27663593.299999967,2357,7.034365719134493
Other,3-sess,0.0,0.0,0.0,169,0.0
Nuclear,ISP15-win,0.0,0.0,0.0,108,0.0
CCGT,ISP15-win,-113299.4,4360.9,-117660.3,108,40.3787037037037
Hydro,ISP15-win,0.0,0.0,0.0,108,0.0
Other,DA60/ID15,0.0,0.0,0.0,195,0.0
CCGT,DA15/ID15,1422236.7500000016,1422236.7500000016,0.0,112,12698.5424107143
Hydro,DA15/ID15,1647885.8250000253,1647885.8250000253,0.0,112,14713.266294643083
Nuclear,DA15/ID15,6910490.500000091,6910490.500000091,0.0,112,61700.8080357151
Other,DA15/ID15,26764.100000000028,26764.100000000028,0.0,112,238.96517857142882
