hour,rt2_mean_mwh,rt2_up_per_day,n_days
1,10.596619664116588,2090.0886160714244,112
2,9.90319809610154,1950.576339285714,112
3,9.47373526745239,1865.9874999999977,112
4,9.23243880326382,1818.460714285713,112
5,9.18898345421577,1809.901562499999,112
6,9.265524741707447,1825.639285714285,112
7,10.056775647997085,1981.5439732142827,112
8,11.750164279887608,2314.9921874999995,112
9,12.9660693248754,2555.0102678571434,112
10,12.55208626082226,2472.424776785713,112
11,11.061432456935643,2178.7071428571453,112
12,9.955341115140534,1960.846651785716,112
13,9.390801399982047,1868.601785714285,112
14,9.14632524446038,1820.6087053571403,112
15,9.288715207745058,1850.3618303571427,112
16,9.635344711732289,1920.4446428571416,112
17,10.774121688148945,2149.4372767857144,112
18,13.492511520737322,2692.5993303571418,112
19,15.636391851918226,3114.9926339285666,112
20,16.180518810815666,3221.801339285716,112
21,15.983759582193915,3183.479687499997,112
22,15.04759514097447,2997.2928571428524,112
23,13.339419110393685,2656.211830357143,112
24,11.326834708150274,2255.8604910714284,112
25,0.0,0.0,1
