unit_code,tech_group,firm_class,n_obs,vol_sd_mw,mean_mw,vol_cv_pct,pre_avg_mwh,post_avg_mwh,n_pre,n_post,jump_gwh
GNANDU,Hydro,Fringe,947,0.0,0.8480464625132004,0.0,0.0950617283950621,0.22278481012658224,243,237,0.00012772308173152015
ASIEBRO,Hydro,Fringe,938,0.02307043095776673,7.341471215351811,0.3189902359835249,-259.4291666666667,-86.70952868852461,168,244,0.17271963797814205
UFMI,Hydro,GN,953,1.8667597428421552,331.1878803777544,0.5583043417038109,202.92008196721304,-305.9798155737703,244,244,-0.5088998975409833
ECHO,Hydro,Fringe,577,0.0,0.9604852686308493,0.0,0.09125683060109284,-1.0247041420118344,183,169,-0.001115960972612927
SLTG,Hydro_pump,GE,299,2.218482751182817,95.84790969899665,2.5769277090852762,284.2471428571429,-196.88521739130434,210,230,-0.4811323602484472
TAMEGA,Hydro,IB,942,6.295462009452018,305.0746549893841,3.64664926763996,253.02336065573792,-131.28381147541015,244,244,-0.384307172131148
GNEBRO,Hydro,Fringe,915,1.1052380550279652,17.543442622950828,6.124120644163123,-427.2844262295081,-580.4773565573776,244,244,-0.1531929303278695
WMEBRO,Hydro,Fringe,882,0.0024469901242997467,1.9467687074829951,0.12938137017547846,-52.123770491803285,-52.59831730769231,244,208,-0.00047454681588902757
ACE4,CCGT,GN,370,5.77413009240822,137.11939189189187,3.244069268656081,1202.2677419354839,3415.5270652173917,217,230,2.213259323281908
WMCHVNR,Hydro,Fringe,168,0.0,0.2,0.0,-1.0057377049180314,-0.056470588235292954,244,85,0.0009492671166827384
JUCA,Hydro,IB,959,0.41814237264748433,46.74309176225236,0.5204767794545014,100.06803278688527,19.24262295081972,244,244,-0.08082540983606555
BES5,CCGT,GE,536,0.4908933441490384,147.6104944029851,0.35998206524372395,2155.97558685446,3148.11891025641,213,156,0.9921433234019501
TEES,Hydro,GE,877,0.5505414694696122,45.64275940706953,1.646994150425285,28.21280991735536,3.2017156862744547,242,204,-0.02501109423108091
WMGRDZR,Hydro,Fringe,168,0.0,1.0,0.0,-1.3483606557377055,-0.41599999999999937,244,150,0.0009323606557377061
ECT3,CCGT,Fringe,30,24.49718238167393,101.62249999999999,25.78737349296664,1221.3837398373985,3683.1372340425532,123,235,2.461753494205155
