firm_group,1.pre-IDA,2.3-sess,3.ISP15-win,4.DA60/ID15,5.DA15/ID15,_table,regime,n_months,mean_monthly_profit_M,total_profit_M
Fringe,-28670.0,-26083.0,-25874.0,-22831.0,-18828.0,profit_eur_per_firm_day,,,,
GE,6389.0,7334.0,4339.0,13687.0,3947.0,profit_eur_per_firm_day,,,,
GN,15003.0,16585.0,13043.0,15961.0,32807.0,profit_eur_per_firm_day,,,,
HC,3496.0,2526.0,4628.0,4308.0,6648.0,profit_eur_per_firm_day,,,,
IB,3782.0,10582.0,5200.0,1563.0,2342.0,profit_eur_per_firm_day,,,,
Fringe,-23726.0,-13936.0,-11071.0,-10640.0,-13958.0,dq_mwh_per_firm_day,,,,
GE,2975.0,2969.0,2132.0,2459.0,3019.0,dq_mwh_per_firm_day,,,,
GN,12166.0,5382.0,5621.0,5262.0,7262.0,dq_mwh_per_firm_day,,,,
HC,2212.0,1738.0,2032.0,1499.0,2265.0,dq_mwh_per_firm_day,,,,
IB,6374.0,4058.0,2430.0,2331.0,3328.0,dq_mwh_per_firm_day,,,,
,,,,,,big4_monthly_profit_M,1.pre-IDA,78.0,0.87,67.55
,,,,,,big4_monthly_profit_M,2.3-sess,6.0,1.05,6.29
,,,,,,big4_monthly_profit_M,3.ISP15-win,4.0,0.73,2.94
,,,,,,big4_monthly_profit_M,4.DA60/ID15,7.0,0.99,6.93
,,,,,,big4_monthly_profit_M,5.DA15/ID15,4.0,1.28,5.12
