date,period,p_actual,p_GE,p_IB,p_GN,p_HC,regime,mp_GE,mp_IB,mp_GN,mp_HC
2024-06-01,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,3,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,4,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,9,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,10,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,11,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,12,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,13,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,14,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,15,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,16,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,17,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,18,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,19,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,20,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,21,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,22,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-01,23,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,2,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,3,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,4,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,9,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,10,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,11,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,12,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,13,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,14,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,15,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,16,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,17,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,18,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,19,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,20,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,21,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,22,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-02,23,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-03,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-04,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-05,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-06,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-06,21,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-06,23,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-07,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-07,2,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-07,3,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-07,4,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-07,5,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,11,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,12,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,13,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,14,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,15,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,16,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,17,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,18,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,19,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,21,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,22,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-08,24,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,1,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,2,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,3,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,4,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,5,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,8,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,9,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,10,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,11,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,12,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,13,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,14,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,15,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,16,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,17,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,18,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
2024-06-09,19,0.0,0.0,0.0,0.0,0.0,pre-IDA,0.0,0.0,0.0,0.0
