month,abs_imb_mwh,net_transfer_eur,eur_per_mwh_imb,regime
2018-01-01,494863.89999999997,-16649002.18,-33.64359812869761,pre-IDA
2018-02-01,441560.6,-10318619.530000001,-23.36852411650859,pre-IDA
2018-03-01,461610.4,-15049028.239999998,-32.60114642131113,pre-IDA
2018-04-01,459624.3,-12034205.24,-26.182700174903722,pre-IDA
2018-05-01,375433.6,-12827398.899999999,-34.16689102946566,pre-IDA
2018-06-01,337604.80000000005,-9319326.31,-27.604247066392418,pre-IDA
2018-07-01,348099.69999999995,-9604552.430000002,-27.59138381906104,pre-IDA
2018-08-01,402783.0,-8544648.89,-21.214025641598578,pre-IDA
2018-09-01,332088.9,-11421625.61,-34.393277251964754,pre-IDA
2018-10-01,353019.9,-12459726.58,-35.294686163584544,pre-IDA
2018-11-01,359341.5,-7752563.609999998,-21.57436202052921,pre-IDA
2018-12-01,350061.5,-7848418.09,-22.420112151721913,pre-IDA
2019-01-01,432884.6,-6938309.949999999,-16.02808219557822,pre-IDA
2019-02-01,291082.5,-7423897.85,-25.504445818625303,pre-IDA
2019-03-01,340276.5,-16693405.67,-49.058355984030634,pre-IDA
2019-04-01,409958.3,-10181052.490000002,-24.834361177710033,pre-IDA
2019-05-01,339200.10000000003,-11085123.35,-32.68018892093487,pre-IDA
2019-06-01,372251.7,-7094817.210000001,-19.05919357789367,pre-IDA
2019-07-01,476116.69999999995,-3947281.9499999993,-8.290576554025515,pre-IDA
2019-08-01,321690.5,-3418949.8499999987,-10.628072168746042,pre-IDA
2019-09-01,332184.1,-4521409.49,-13.611155651339123,pre-IDA
2019-10-01,339555.4,-6503635.430000002,-19.15338536804304,pre-IDA
2019-11-01,382462.5,-5022830.280000001,-13.13286996764389,pre-IDA
2019-12-01,286427.10000000003,-7849602.020000001,-27.405235119162956,pre-IDA
2020-01-01,37776.200000000004,-2407037.130000001,-63.71834991343758,pre-IDA
2020-02-01,80610.40000000001,-6549637.940000001,-81.25053268560882,pre-IDA
2020-03-01,34233.7,-5335412.069999999,-155.85262679757082,pre-IDA
2020-04-01,26168.4,-6115916.51,-233.71381169655,pre-IDA
2020-05-01,22175.6,-6687696.529999999,-301.5790567109796,pre-IDA
2020-06-01,28922.7,-8616735.0,-297.92291176135006,pre-IDA
2020-07-01,20291.5,-7522196.24,-370.7067609590223,pre-IDA
2020-08-01,21951.2,-4395980.940000001,-200.261531943584,pre-IDA
2020-09-01,27099.9,-723513.2599999998,-26.698004789685562,pre-IDA
2020-10-01,29856.7,-7701257.73,-257.9406876848413,pre-IDA
2020-11-01,31710.8,-3512431.9299999997,-110.76453227291647,pre-IDA
2020-12-01,35482.9,-670186.879999999,-18.88760163346285,pre-IDA
2021-01-01,62292.5,-2603373.7799999937,-41.79273235140657,pre-IDA
2021-02-01,33345.5,-11113215.61,-333.27482298960877,pre-IDA
2021-03-01,22033.8,-8708559.350000001,-395.23638001615706,pre-IDA
2021-04-01,29241.100000000002,-10366567.650000002,-354.52044040750866,pre-IDA
2021-05-01,27729.7,-18865104.82,-680.3212735803128,pre-IDA
2021-06-01,15342.8,-13214341.190000001,-861.2731176838648,pre-IDA
2021-07-01,18547.3,-10095244.71,-544.29726752681,pre-IDA
2021-08-01,17729.8,-21878603.199999996,-1234.001692066464,pre-IDA
