regime,segment,n,beta,se,p,volume_share,r2
ISP15 win,conv_rz,10368,300.48757864718027,31.4615370121273,1.2851190299392635e-21,0.13453024108376968,0.3809741424638078
ISP15 win,conv_nrz,10368,-51.63692254741319,8.47948136001339,1.1317039553265908e-09,0.10294074073789207,0.3809741424638078
ISP15 win,wind,10368,89.70082090544213,3.9896797167337668,6.059072125925732e-112,0.3159994151991635,0.3809741424638078
ISP15 win,hydro,10368,184.09487887096753,80.5964204923201,0.02236230506432498,0.014050545348840279,0.3809741424638078
ISP15 win,thermal_re,10368,-133.31067983559956,32.257597218276004,3.5854069160435394e-05,0.03643153575588048,0.3809741424638078
ISP15 win,cor_ret,10368,784.0432909269468,62.08092803105342,1.4542960259891774e-36,0.05016508272421142,0.3809741424638078
ISP15 win,lib_ret,10368,-21.643283849803062,8.24583672610352,0.008671187087127653,0.34567453941952414,0.3809741424638078
ISP15 win,export_u,10368,-25446.602547170965,6283.268065459648,5.123969114914162e-05,0.0002074287123933525,0.3809741424638078
ISP15 win,import_u,10368,75943.45795387427,51364.964591874384,0.13927213397464622,4.710183250277823e-07,0.3809741424638078
DA60/ID15,conv_rz,18620,220.07740681435388,22.62465789733688,2.3057599515335328e-22,0.12617017378068307,0.36428551594894587
DA60/ID15,conv_nrz,18620,-2.1992398904549124,6.089013274636335,0.7179636551954889,0.09305466683531728,0.36428551594894587
DA60/ID15,wind,18620,43.06393600177881,3.957222051636693,1.3988524945820493e-27,0.256663957339241,0.36428551594894587
DA60/ID15,hydro,18620,527.4424029102757,45.19608713489174,1.8123149369490552e-31,0.019395067204646153,0.36428551594894587
DA60/ID15,thermal_re,18620,134.525935907081,20.337257546808054,3.721725678932405e-11,0.05251676821104787,0.36428551594894587
DA60/ID15,cor_ret,18620,495.55678068676656,63.71452597122373,7.381546573958703e-15,0.03743821516923705,0.36428551594894587
DA60/ID15,lib_ret,18620,7.535306700792734,5.752830384304383,0.19024883010682625,0.41453534233058686,0.36428551594894587
DA60/ID15,export_u,18620,2741.738403959337,3077.5092505177813,0.3729853634305893,0.00022548948076240015,0.36428551594894587
DA60/ID15,import_u,18620,-87611.19644850591,33089.99530432535,0.008104998494142061,3.196484783141673e-07,0.36428551594894587
DA15/ID15,conv_rz,19680,210.23755993425365,12.404237309580349,1.9625444347607406e-64,0.1413340964531092,0.3505287478980127
DA15/ID15,conv_nrz,19680,-15.926040533479654,7.417285204103546,0.031781163608245976,0.09086627698239479,0.3505287478980127
DA15/ID15,wind,19680,93.99847611440995,5.8382005943977715,2.5268218213542195e-58,0.3047324954020404,0.3505287478980127
DA15/ID15,hydro,19680,19.010338655166855,38.7327765674464,0.623562579016316,0.016287825647983385,0.3505287478980127
DA15/ID15,thermal_re,19680,81.15768163032631,32.98482353025424,0.013876088250390767,0.03561797185890073,0.3505287478980127
DA15/ID15,cor_ret,19680,-9.003883462737853,50.4337474723822,0.8583075956361502,0.037076603547170725,0.3505287478980127
DA15/ID15,lib_ret,19680,36.64914482705251,6.68020847212076,4.1060754281092444e-08,0.3738531989015285,0.3505287478980127
DA15/ID15,export_u,19680,-337.6483472331606,2687.6214821482477,0.9000240898291555,0.00023102732088486113,0.3505287478980127
DA15/ID15,import_u,19680,32631.597755282004,21106.073217457353,0.1220861627500563,5.038859873972516e-07,0.3505287478980127
