firm_group,1.pre-IDA,2.3-sess,3.ISP15-win,4.DA60/ID15,5.DA15/ID15,_table,regime,n_months,mean_total_mwh
Fringe,-23726.0,-13958.0,-11071.0,-10586.0,-13958.0,raw_mean_mwh,,,
GE,2975.0,2961.0,2132.0,2446.0,3019.0,raw_mean_mwh,,,
GN,12166.0,5352.0,5621.0,5235.0,7262.0,raw_mean_mwh,,,
HC,2212.0,1747.0,2032.0,1492.0,2265.0,raw_mean_mwh,,,
IB,6374.0,4101.0,2430.0,2319.0,3328.0,raw_mean_mwh,,,
Fringe,-26.3,-25.61,-13.04,-17.3,-17.49,raw_pct_of_da,,,
GE,20.48,5.52,3.77,3.49,4.02,raw_pct_of_da,,,
GN,197.96,631.73,263.99,-124.58,651.7,raw_pct_of_da,,,
HC,190.24,899.64,396.94,5689.89,80.99,raw_pct_of_da,,,
IB,41.91,56.58,22.02,11.0,14.02,raw_pct_of_da,,,
,,,,,,big4_monthly_by_regime,1.pre-IDA,78.0,720079.0
,,,,,,big4_monthly_by_regime,2.3-sess,5.0,425126.0
,,,,,,big4_monthly_by_regime,3.ISP15-win,4.0,359822.0
,,,,,,big4_monthly_by_regime,4.DA60/ID15,6.0,355404.0
,,,,,,big4_monthly_by_regime,5.DA15/ID15,4.0,444492.0
