firm_group,tech,regime,sum_profit,sum_abs_dq,sum_dq,n,yield_eur_per_mwh,mean_dq_per_day
GE,CCGT,1.pre-IDA,7108890.872616666,6949745.3,5331358.5,2344,1.0228994827503486,2274.4703498293516
GE,CCGT,2.3-sess,765107.04,401883.3,360234.5,170,1.903804014747565,2119.0264705882355
GE,CCGT,3.ISP15-win,350754.8891666668,237328.3,232561.9,108,1.4779311576692151,2153.350925925926
GE,CCGT,4.DA60/ID15,768283.5678020834,316354.775,289558.275,195,2.4285505657440556,1484.914230769231
GE,CCGT,5.DA15/ID15,247686.57328124985,383950.325,361102.425,112,0.6451005694063414,3224.128794642857
GE,Hydro,1.pre-IDA,1211396.71945,1757607.5,-733588.3,2347,0.6892305133256429,-312.5642522368982
GE,Hydro,2.3-sess,58328.230166666726,63759.1,-37502.9,164,0.9148220437030437,-228.67621951219513
GE,Hydro,3.ISP15-win,-89393.50299999998,49037.1,-28023.100000000002,108,-1.8229769501051243,-259.47314814814814
GE,Hydro,4.DA60/ID15,793352.3268958332,234971.5,-165490.45,195,3.376376823980071,-848.6689743589744
GE,Hydro,5.DA15/ID15,200215.89040625002,72286.45,-61539.15,112,2.769756854932702,-549.4566964285715
GE,Nuclear,1.pre-IDA,7002868.109233334,3530755.0,742234.2000000001,1163,1.983391118679527,638.2065348237318
GE,Nuclear,2.3-sess,601663.0283333333,244287.6,193436.6,54,2.46292905711683,3582.159259259259
GE,Nuclear,3.ISP15-win,361610.2005,90812.3,-970.4999999999991,32,3.9819517895703553,-30.32812499999997
GE,Nuclear,4.DA60/ID15,1537217.7333229166,640956.075,481045.02499999997,180,2.3983199368582575,2672.472361111111
GE,Nuclear,5.DA15/ID15,-172972.87145833333,84766.275,26091.874999999993,103,-2.040585969577327,253.31917475728147
GE,PumpHydro,1.pre-IDA,1302237.8566666667,1151981.0,138804.0,1753,1.1304334504359592,79.18083285795778
GE,PumpHydro,2.3-sess,95022.13949999996,115801.0,89879.6,166,0.8205640668042586,541.443373493976
GE,PumpHydro,3.ISP15-win,-25821.366833333326,36268.9,16493.1,105,-0.7119423757911965,157.07714285714283
GE,PumpHydro,4.DA60/ID15,51457.01407291666,123601.9,22525.65,191,0.4163124844595161,117.93534031413613
GE,PumpHydro,5.DA15/ID15,106705.02616666672,56263.0,12742.1,111,1.8965399315121256,114.7936936936937
GN,CCGT,1.pre-IDA,32362420.7209,26433103.6,26424968.6,2356,1.2243140726350423,11216.030814940577
GN,CCGT,2.3-sess,2037388.4328333333,852579.6,852579.6,170,2.3896753251348417,5015.174117647059
GN,CCGT,3.ISP15-win,1113160.9145000002,541777.9,541777.9,108,2.0546443745675123,5016.462037037038
